epoch,start.epoch,end.epoch,start.calc_gradients,end.calc_gradients,start.recv_data,end.recv_data,start.send,end.send,start.swap_recv_instruction,end.swap_recv_instruction,start.load_state_dict,end.load_state_dict,start.swap_recv,end.swap_recv,start.swap_send,end.swap_send,swap_with,mean_d_loss,size.model,size.sent,size.recv
0,1716392010.7315273,1716392012.7932992,1716392011.3168583,1716392012.7512887,1716392010.7361467,1716392011.3168511,1716392012.7512891,1716392012.7932973,,,,,,,,,,1.614659309387207,2.5332183837890625,0.1171875,0.234375
1,1716392012.7936838,1716392018.3533769,1716392018.1915505,1716392018.3154514,1716392012.7971559,1716392018.1915433,1716392018.315452,1716392018.3533754,,,,,,,,,,1.2631347179412842,2.5332183837890625,0.1171875,0.234375
2,1716392018.3566353,1716392019.104756,1716392019.0456638,1716392019.0978978,1716392018.3639205,1716392019.045657,1716392019.0978985,1716392019.1047552,,,,,,,,,,1.073716640472412,2.5332183837890625,0.1171875,0.234375
3,1716392019.1049278,1716392019.79283,1716392019.7360363,1716392019.7866259,1716392019.1077206,1716392019.7360294,1716392019.7866266,1716392019.792829,,,,,,,,,,1.1400902271270752,2.5332183837890625,0.1171875,0.234375
4,1716392019.7930408,1716392020.5888317,1716392020.426824,1716392020.4892912,1716392019.798597,1716392020.4268134,1716392020.4892917,1716392020.5888307,,,,,,,,,,1.1071410179138184,2.5332183837890625,0.1171875,0.234375
5,1716392020.5890222,1716392021.2697368,1716392021.1604743,1716392021.2159834,1716392020.5918403,1716392021.1604517,1716392021.2159843,1716392021.2697356,,,,,,,,,,1.1969258785247803,2.5332183837890625,0.1171875,0.234375
6,1716392021.2700422,1716392021.904429,1716392021.8390608,1716392021.89354,1716392021.285718,1716392021.8390498,1716392021.8935404,1716392021.9044282,,,,,,,,,,1.1046385765075684,2.5332183837890625,0.1171875,0.234375
7,1716392021.9045851,1716392022.6232412,1716392022.5508552,1716392022.61673,1716392021.910991,1716392022.5508494,1716392022.6167305,1716392022.6232405,,,,,,,,,,1.0980199575424194,2.5332183837890625,0.1171875,0.234375
8,1716392022.6234665,1716392023.251341,1716392023.2051532,1716392023.2353501,1716392022.6262667,1716392023.2051446,1716392023.2353504,1716392023.2513406,,,,,,,,,,0.7186098098754883,2.5332183837890625,0.1171875,0.234375
9,1716392023.2515652,1716392023.9277122,1716392023.8513694,1716392023.8685489,1716392023.254291,1716392023.8513618,1716392023.8685496,1716392023.9277112,,,,,,,,,,0.9394981861114502,2.5332183837890625,0.1171875,0.234375
10,1716392023.9279208,1716392024.5245993,1716392024.498307,1716392024.5166686,1716392023.931865,1716392024.4982977,1716392024.5166693,1716392024.5245984,,,,,,,,,,0.7622234225273132,2.5332183837890625,0.1171875,0.234375
11,1716392024.5247443,1716392025.1808345,1716392025.0490475,1716392025.1325262,1716392024.5275183,1716392025.04904,1716392025.1325269,1716392025.1808336,,,,,,,,,,0.6009618043899536,2.5332183837890625,0.1171875,0.234375
12,1716392025.1810179,1716392025.73326,1716392025.7207308,1716392025.7299652,1716392025.1840603,1716392025.7207203,1716392025.729966,1716392025.7332592,,,,,,,,,,0.9830285906791687,2.5332183837890625,0.1171875,0.234375
13,1716392025.7333863,1716392026.4456341,1716392026.35584,1716392026.408829,1716392025.750442,1716392026.3558261,1716392026.4088295,1716392026.445633,,,,,,,,,,0.6792570948600769,2.5332183837890625,0.1171875,0.234375
14,1716392026.4458225,1716392027.1728106,1716392027.0754843,1716392027.120721,1716392026.4491274,1716392027.0754776,1716392027.1207218,1716392027.1728094,,,,,,,,,,1.1142069101333618,2.5332183837890625,0.1171875,0.234375
15,1716392027.1729996,1716392027.7449937,1716392027.689989,1716392027.7172155,1716392027.1762302,1716392027.6899767,1716392027.717216,1716392027.7449925,,,,,,,,,,0.5195527076721191,2.5332183837890625,0.1171875,0.234375
16,1716392027.7985137,1716392028.4477224,1716392028.4010596,1716392028.4370115,1716392027.801662,1716392028.4010522,1716392028.4370122,1716392028.4477217,,,,,,,,,,0.5425456762313843,2.5332183837890625,0.1171875,0.234375
17,1716392028.4478776,1716392029.1489549,1716392029.0631585,1716392029.111809,1716392028.4696743,1716392029.0631495,1716392029.1118095,1716392029.148954,,,,,,,,,,0.6385015845298767,2.5332183837890625,0.1171875,0.234375
18,1716392029.1491907,1716392029.7211475,1716392029.6407363,1716392029.7063968,1716392029.1942487,1716392029.6407266,1716392029.7063975,1716392029.7211468,,,,,,,,,,0.3935050368309021,2.5332183837890625,0.1171875,0.234375
19,1716392029.721313,1716392030.4594336,1716392030.3314583,1716392030.4570298,1716392029.7498338,1716392030.3314502,1716392030.4570303,1716392030.4594326,,,,,,,,,,0.7413929104804993,2.5332183837890625,0.1171875,0.234375
20,1716392030.4596727,1716392030.9680884,1716392030.9421499,1716392030.9619405,1716392030.4638546,1716392030.942139,1716392030.961941,1716392030.9680874,,,,,,,,,,0.4487004578113556,2.5332183837890625,0.1171875,0.234375
