epoch,start.epoch,end.epoch,start.calc_gradients,end.calc_gradients,start.recv_data,end.recv_data,start.send,end.send,start.swap_recv_instruction,end.swap_recv_instruction,start.load_state_dict,end.load_state_dict,start.swap_recv,end.swap_recv,start.swap_send,end.swap_send,swap_with,mean_d_loss,size.model,size.sent,size.recv
0,1716392010.7491271,1716392012.8566792,1716392011.3175282,1716392012.8131115,1716392010.7546759,1716392011.3175232,1716392012.8131118,1716392012.856677,,,,,,,,,,1.2379359006881714,2.5332183837890625,0.1171875,0.234375
1,1716392012.8571815,1716392018.3688083,1716392018.1836252,1716392018.355124,1716392012.8621502,1716392018.1836197,1716392018.3551247,1716392018.3688073,,,,,,,,,,1.181748390197754,2.5332183837890625,0.1171875,0.234375
2,1716392018.3690019,1716392019.0849657,1716392019.047135,1716392019.0646045,1716392018.373215,1716392019.0471294,1716392019.0646052,1716392019.0849645,,,,,,,,,,1.1541130542755127,2.5332183837890625,0.1171875,0.234375
3,1716392019.0851672,1716392019.7829177,1716392019.7368283,1716392019.777989,1716392019.0888224,1716392019.7368217,1716392019.7779896,1716392019.7829165,,,,,,,,,,1.0878503322601318,2.5332183837890625,0.1171875,0.234375
4,1716392019.7831748,1716392020.5021076,1716392020.4274368,1716392020.4990532,1716392019.7879107,1716392020.4274306,1716392020.4990535,1716392020.502107,,,,,,,,,,1.131658911705017,2.5332183837890625,0.1171875,0.234375
5,1716392020.5022473,1716392021.238031,1716392021.1631734,1716392021.213092,1716392020.5050254,1716392021.1631672,1716392021.2130926,1716392021.2380297,,,,,,,,,,1.099570870399475,2.5332183837890625,0.1171875,0.234375
6,1716392021.2382376,1716392021.9659238,1716392021.8360212,1716392021.8926888,1716392021.2413225,1716392021.8360143,1716392021.8926895,1716392021.9659228,,,,,,,,,,1.5114275217056274,2.5332183837890625,0.1171875,0.234375
7,1716392021.966131,1716392022.5958278,1716392022.5524561,1716392022.57409,1716392021.9705591,1716392022.5524504,1716392022.574091,1716392022.5958269,,,,,,,,,,0.7478110194206238,2.5332183837890625,0.1171875,0.234375
8,1716392022.6648984,1716392023.256664,1716392023.201127,1716392023.22736,1716392022.66774,1716392023.201122,1716392023.2273605,1716392023.256663,,,,,,,,,,1.2574750185012817,2.5332183837890625,0.1171875,0.234375
9,1716392023.2926023,1716392023.8696845,1716392023.845007,1716392023.8646488,1716392023.3290439,1716392023.8450017,1716392023.8646498,1716392023.8696837,,,,,,,,,,0.7849379777908325,2.5332183837890625,0.1171875,0.234375
