epoch,start.epoch,end.epoch,start.calc_gradients,end.calc_gradients,start.recv_data,end.recv_data,start.send,end.send,start.swap_recv_instruction,end.swap_recv_instruction,start.load_state_dict,end.load_state_dict,start.swap_recv,end.swap_recv,start.swap_send,end.swap_send,swap_with,mean_d_loss,size.model,size.sent,size.recv
0,1716378951.0589833,1716378952.5667248,1716378951.672639,1716378952.5514376,1716378951.075235,1716378951.6726303,1716378952.5514383,1716378952.5667236,,,,,,,,,,1.6601195335388184,2.5332183837890625,0.1171875,0.234375
1,1716378952.5674124,1716378957.6570704,1716378957.6123445,1716378957.643309,1716378952.57381,1716378957.612336,1716378957.6433098,1716378957.6570692,,,,,,,,,,1.0104238986968994,2.5332183837890625,0.1171875,0.234375
2,1716378957.6572628,1716378957.9914505,1716378957.945532,1716378957.981235,1716378957.6614094,1716378957.945525,1716378957.9812357,1716378957.9914494,,,,,,,,,,1.236630916595459,2.5332183837890625,0.1171875,0.234375
3,1716378957.991624,1716378958.1716237,1716378958.1352377,1716378958.159475,1716378957.9984775,1716378958.135232,1716378958.159476,1716378958.1716228,,,,,,,,,,1.0575398206710815,2.5332183837890625,0.1171875,0.234375
4,1716378958.1717944,1716378958.3083067,1716378958.2873147,1716378958.304107,1716378958.1761441,1716378958.2873092,1716378958.3041077,1716378958.308306,,,,,,,,,,1.3055665493011475,2.5332183837890625,0.1171875,0.234375
5,1716378958.3086832,1716378958.448358,1716378958.4334075,1716378958.4427023,1716378958.3133657,1716378958.4334023,1716378958.4427028,1716378958.4483573,,,,,,,,,,1.077423095703125,2.5332183837890625,0.1171875,0.234375
6,1716378958.4485483,1716378958.5911052,1716378958.577142,1716378958.5861046,1716378958.453217,1716378958.577135,1716378958.5861053,1716378958.5911043,,,,,,,,,,1.0201992988586426,2.5332183837890625,0.1171875,0.234375
7,1716378958.5912843,1716378958.7584653,1716378958.7247872,1716378958.745253,1716378958.5956457,1716378958.7247782,1716378958.7453399,1716378958.7584643,,,,,,,,,,1.2197401523590088,2.5332183837890625,0.1171875,0.234375
8,1716378958.7586823,1716378958.8702846,1716378958.8426778,1716378958.8619,1716378958.7635965,1716378958.8426716,1716378958.8619006,1716378958.8702834,,,,,,,,,,0.7524042725563049,2.5332183837890625,0.1171875,0.234375
9,1716378958.8704927,1716378959.001404,1716378958.9760296,1716378958.996994,1716378958.876243,1716378958.9760244,1716378958.9969945,1716378959.001403,,,,,,,,,,1.3231370449066162,2.5332183837890625,0.1171875,0.234375
10,1716378959.0015688,1716378959.1300309,1716378959.1033108,1716378959.1235986,1716378959.0053854,1716378959.1032856,1716378959.1235993,1716378959.1300297,,,,,,,,,,1.0582871437072754,2.5332183837890625,0.1171875,0.234375
11,1716378959.1302693,1716378959.2628376,1716378959.235972,1716378959.2553182,1716378959.1357594,1716378959.235967,1716378959.2553189,1716378959.262837,,,,,,,,,,1.1724979877471924,2.5332183837890625,0.1171875,0.234375
12,1716378959.2629795,1716378959.3956227,1716378959.3633022,1716378959.389765,1716378959.2661607,1716378959.3632965,1716378959.389766,1716378959.3956215,,,,,,,,,,0.8960840702056885,2.5332183837890625,0.1171875,0.234375
13,1716378959.395766,1716378959.513663,1716378959.4833767,1716378959.510145,1716378959.399024,1716378959.4833717,1716378959.5101454,1716378959.513662,,,,,,,,,,0.8944381475448608,2.5332183837890625,0.1171875,0.234375
14,1716378959.5138574,1716378959.6466782,1716378959.61553,1716378959.632241,1716378959.5189521,1716378959.615518,1716378959.6322417,1716378959.6466773,,,,,,,,,,0.8545907735824585,2.5332183837890625,0.1171875,0.234375
15,1716378959.646989,1716378959.7685504,1716378959.7461793,1716378959.7648852,1716378959.651262,1716378959.7461715,1716378959.764886,1716378959.7685494,,,,,,,,,,0.48613014817237854,2.5332183837890625,0.1171875,0.234375
16,1716378959.7687285,1716378959.8999894,1716378959.868042,1716378959.8875241,1716378959.7733395,1716378959.8680372,1716378959.8875248,1716378959.8999884,,,,,,,,,,0.7510879039764404,2.5332183837890625,0.1171875,0.234375
17,1716378959.9001508,1716378960.0200577,1716378959.9897726,1716378960.0132449,1716378959.9121861,1716378959.989767,1716378960.0132453,1716378960.0200565,,,,,,,,,,0.3647352457046509,2.5332183837890625,0.1171875,0.234375
18,1716378960.020237,1716378960.1507378,1716378960.1168206,1716378960.1416802,1716378960.0399806,1716378960.1168146,1716378960.141681,1716378960.1507363,,,,,,,,,,0.6557984352111816,2.5332183837890625,0.1171875,0.234375
19,1716378960.1509619,1716378960.280517,1716378960.245316,1716378960.2613232,1716378960.164386,1716378960.2453096,1716378960.261324,1716378960.2805161,,,,,,,,,,0.9030381441116333,2.5332183837890625,0.1171875,0.234375
20,1716378960.281009,1716378960.4063404,1716378960.3782783,1716378960.400696,1716378960.284825,1716378960.3782706,1716378960.4006968,1716378960.4063396,,,,,,,,,,0.4960135519504547,2.5332183837890625,0.1171875,0.234375
21,1716378960.4065268,1716378960.5369382,1716378960.5061054,1716378960.5276058,1716378960.4127512,1716378960.5060954,1716378960.5276065,1716378960.536937,,,,,,,,,,0.5996648073196411,2.5332183837890625,0.1171875,0.234375
22,1716378960.5392108,1716378960.6546085,1716378960.6282916,1716378960.6506443,1716378960.545362,1716378960.628282,1716378960.650645,1716378960.654607,,,,,,,,,,0.7019450664520264,2.5332183837890625,0.1171875,0.234375
23,1716378960.6548114,1716378960.7842636,1716378960.753036,1716378960.7796912,1716378960.6594179,1716378960.7530296,1716378960.779692,1716378960.7842627,,,,,,,,,,0.4585336148738861,2.5332183837890625,0.1171875,0.234375
24,1716378960.784478,1716378960.9128246,1716378960.887052,1716378960.9080229,1716378960.793286,1716378960.8870468,1716378960.9080234,1716378960.9128234,,,,,,,,,,0.37796905636787415,2.5332183837890625,0.1171875,0.234375
25,1716378960.9134424,1716378961.026281,1716378961.0032537,1716378961.0227826,1716378960.9192386,1716378961.003246,1716378961.0227833,1716378961.0262802,,,,,,,,,,0.569574236869812,2.5332183837890625,0.1171875,0.234375
26,1716378961.026464,1716378961.1463287,1716378961.1287146,1716378961.1422296,1716378961.0343707,1716378961.1287076,1716378961.1422305,1716378961.1463277,,,,,,,,,,0.5720603466033936,2.5332183837890625,0.1171875,0.234375
27,1716378961.146522,1716378961.2737083,1716378961.2480903,1716378961.2697113,1716378961.1575503,1716378961.2480845,1716378961.269712,1716378961.273707,,,,,,,,,,0.6130754947662354,2.5332183837890625,0.1171875,0.234375
28,1716378961.274151,1716378961.4061399,1716378961.3792424,1716378961.4020967,1716378961.2822325,1716378961.3792346,1716378961.4020975,1716378961.4061391,,,,,,,,,,0.5186643600463867,2.5332183837890625,0.1171875,0.234375
29,1716378961.4063292,1716378961.5337152,1716378961.5116181,1716378961.528207,1716378961.4104414,1716378961.511612,1716378961.5282075,1716378961.5337143,,,,,,,,,,0.48312097787857056,2.5332183837890625,0.1171875,0.234375
30,1716378961.533878,1716378961.6758714,1716378961.6371124,1716378961.6703033,1716378961.540377,1716378961.6371055,1716378961.670304,1716378961.6758704,,,,,,,,,,0.6044194102287292,2.5332183837890625,0.1171875,0.234375
31,1716378961.6760647,1716378961.7968147,1716378961.7598689,1716378961.787649,1716378961.68142,1716378961.7597802,1716378961.7876496,1716378961.7968132,,,,,,,,,,0.2562442123889923,2.5332183837890625,0.1171875,0.234375
32,1716378961.7970605,1716378961.9268532,1716378961.8897538,1716378961.9165251,1716378961.8178844,1716378961.8897455,1716378961.9165256,1716378961.926852,,,,,,,,,,0.5443554520606995,2.5332183837890625,0.1171875,0.234375
33,1716378961.9270508,1716378962.0575314,1716378962.0247207,1716378962.0499732,1716378961.9368012,1716378962.0247135,1716378962.049974,1716378962.0575304,,,,,,,,,,0.32692915201187134,2.5332183837890625,0.1171875,0.234375
34,1716378962.0578198,1716378962.1992712,1716378962.172069,1716378962.190885,1716378962.081448,1716378962.1720624,1716378962.1908855,1716378962.1992702,,,,,,,,,,0.2734821140766144,2.5332183837890625,0.1171875,0.234375
35,1716378962.2005289,1716378962.3918989,1716378962.3643625,1716378962.3831356,1716378962.2083416,1716378962.3643548,1716378962.3831365,1716378962.3918977,,,,,,,,,,0.244983971118927,2.5332183837890625,0.1171875,0.234375
36,1716378962.3921452,1716378962.5410478,1716378962.5072756,1716378962.5299466,1716378962.4056697,1716378962.5072665,1716378962.5299473,1716378962.541047,,,,,,,,,,0.2985503673553467,2.5332183837890625,0.1171875,0.234375
37,1716378962.5412164,1716378962.6955688,1716378962.6538105,1716378962.6710527,1716378962.551816,1716378962.653803,1716378962.6710536,1716378962.695568,,,,,,,,,,0.2428331971168518,2.5332183837890625,0.1171875,0.234375
38,1716378962.6959524,1716378962.8292289,1716378962.7921848,1716378962.8200538,1716378962.699599,1716378962.7921755,1716378962.8200543,1716378962.8292277,,,,,,,,,,0.3280627131462097,2.5332183837890625,0.1171875,0.234375
39,1716378962.829465,1716378962.9662766,1716378962.919249,1716378962.9401758,1716378962.83272,1716378962.9192395,1716378962.9401767,1716378962.9662762,,,,,,,,,,0.35577988624572754,2.5332183837890625,0.1171875,0.234375
40,1716378962.9664474,1716378963.0635467,1716378963.0415688,1716378963.0565658,1716378962.9815342,1716378963.041562,1716378963.0565662,1716378963.063546,,,,,,,,,,0.2506266236305237,2.5332183837890625,0.1171875,0.234375
41,1716378963.0638502,1716378963.2118568,1716378963.180364,1716378963.2070515,1716378963.0725393,1716378963.1803553,1716378963.2070522,1716378963.2118556,,,,,,,,,,0.3376446068286896,2.5332183837890625,0.1171875,0.234375
42,1716378963.2121282,1716378963.3162892,1716378963.3027189,1716378963.311516,1716378963.2171803,1716378963.3027127,1716378963.3115165,1716378963.3162882,,,,,,,,,,0.24665692448616028,2.5332183837890625,0.1171875,0.234375
43,1716378963.316435,1716378963.4456112,1716378963.4325821,1716378963.4421034,1716378963.3208482,1716378963.4325738,1716378963.442104,1716378963.4456105,,,,,,,,,,0.36328357458114624,2.5332183837890625,0.1171875,0.234375
44,1716378963.445973,1716378963.609262,1716378963.5814316,1716378963.6031725,1716378963.4597778,1716378963.581423,1716378963.603173,1716378963.6092606,,,,,,,,,,0.23169800639152527,2.5332183837890625,0.1171875,0.234375
45,1716378963.609469,1716378963.7268333,1716378963.7033024,1716378963.722248,1716378963.6140397,1716378963.703295,1716378963.722249,1716378963.7268324,,,,,,,,,,0.4138539135456085,2.5332183837890625,0.1171875,0.234375
46,1716378963.7272363,1716378963.860613,1716378963.8338878,1716378963.8548908,1716378963.7385366,1716378963.833879,1716378963.8548915,1716378963.8606122,,,,,,,,,,0.16625173389911652,2.5332183837890625,0.1171875,0.234375
47,1716378963.8609755,1716378963.9658313,1716378963.9444284,1716378963.9618669,1716378963.8648913,1716378963.94442,1716378963.9618673,1716378963.96583,,,,,,,,,,0.2135353535413742,2.5332183837890625,0.1171875,0.234375
48,1716378963.9662764,1716378964.105334,1716378964.0817978,1716378964.0986,1716378963.9863286,1716378964.0817916,1716378964.0986006,1716378964.105333,,,,,,,,,,0.45353037118911743,2.5332183837890625,0.1171875,0.234375
