epoch,start.epoch,end.epoch,start.calc_gradients,end.calc_gradients,start.recv_data,end.recv_data,start.send,end.send,start.swap_recv_instruction,end.swap_recv_instruction,start.load_state_dict,end.load_state_dict,start.swap_recv,end.swap_recv,start.swap_send,end.swap_send,swap_with,mean_d_loss,size.model,size.sent,size.recv
0,1716392010.4035647,1716392012.8041618,1716392011.212503,1716392012.7953343,1716392010.4122815,1716392011.212497,1716392012.795335,1716392012.8041606,,,,,,,,,,2.035747528076172,2.5332183837890625,0.1171875,0.234375
1,1716392012.810105,1716392017.976694,1716392017.8952875,1716392017.9417233,1716392012.8151343,1716392017.8952637,1716392017.941724,1716392017.9766922,,,,,,,,,,1.3150384426116943,2.5332183837890625,0.1171875,0.234375
2,1716392017.976965,1716392018.7815006,1716392018.7519603,1716392018.7734413,1716392017.983775,1716392018.7519474,1716392018.773442,1716392018.781499,,,,,,,,,,0.8652486801147461,2.5332183837890625,0.1171875,0.234375
3,1716392018.78178,1716392019.515888,1716392019.4725637,1716392019.5101414,1716392018.7852535,1716392019.4725535,1716392019.5101428,1716392019.515886,,,,,,,,,,0.9670658111572266,2.5332183837890625,0.1171875,0.234375
4,1716392019.5160813,1716392020.2071638,1716392020.1626084,1716392020.1837306,1716392019.5968955,1716392020.1625974,1716392020.1837316,1716392020.2071626,,,,,,,,,,0.9765053391456604,2.5332183837890625,0.1171875,0.234375
5,1716392020.2073293,1716392020.8827279,1716392020.8607817,1716392020.8754857,1716392020.2124338,1716392020.8607736,1716392020.8754861,1716392020.882727,,,,,,,,,,0.8317514657974243,2.5332183837890625,0.1171875,0.234375
6,1716392020.8829374,1716392021.5998318,1716392021.5777307,1716392021.5948994,1716392020.8875523,1716392021.577723,1716392021.5949001,1716392021.5998306,,,,,,,,,,0.9817318916320801,2.5332183837890625,0.1171875,0.234375
7,1716392021.600061,1716392022.286436,1716392022.262813,1716392022.2800398,1716392021.605147,1716392022.2628064,1716392022.2800403,1716392022.286435,,,,,,,,,,1.029144525527954,2.5332183837890625,0.1171875,0.234375
8,1716392022.2866554,1716392022.9508724,1716392022.9274523,1716392022.9420252,1716392022.2904866,1716392022.9274392,1716392022.942026,1716392022.9508708,,,,,,,,,,1.0668911933898926,2.5332183837890625,0.1171875,0.234375
9,1716392022.9511528,1716392023.6215022,1716392023.5969608,1716392023.614214,1716392022.955339,1716392023.5969486,1716392023.6142147,1716392023.621501,,,,,,,,,,0.8874576091766357,2.5332183837890625,0.1171875,0.234375
10,1716392023.6218054,1716392024.28188,1716392024.2587504,1716392024.2758393,1716392023.6269004,1716392024.2587442,1716392024.2758398,1716392024.2818782,,,,,,,,,,0.5139256119728088,2.5332183837890625,0.1171875,0.234375
11,1716392024.282127,1716392024.8676994,1716392024.844145,1716392024.8612494,1716392024.2866416,1716392024.8441339,1716392024.8612502,1716392024.867698,,,,,,,,,,0.9073954820632935,2.5332183837890625,0.1171875,0.234375
12,1716392024.8679166,1716392025.4716225,1716392025.4464643,1716392025.4639482,1716392024.8723998,1716392025.4464588,1716392025.4639487,1716392025.4716206,,,,,,,,,,0.9548187851905823,2.5332183837890625,0.1171875,0.234375
13,1716392025.4748275,1716392026.1613324,1716392026.1366658,1716392026.1570408,1716392025.4818287,1716392026.1366544,1716392026.1570413,1716392026.1613312,,,,,,,,,,0.6048457622528076,2.5332183837890625,0.1171875,0.234375
14,1716392026.1615217,1716392026.8511033,1716392026.8282785,1716392026.843596,1716392026.1660388,1716392026.8282707,1716392026.8435965,1716392026.8511012,,,,,,,,,,0.7194825410842896,2.5332183837890625,0.1171875,0.234375
15,1716392026.8513544,1716392027.508749,1716392027.487392,1716392027.5044112,1716392026.855037,1716392027.4873862,1716392027.504412,1716392027.5087473,,,,,,,,,,0.8620603680610657,2.5332183837890625,0.1171875,0.234375
16,1716392027.509113,1716392028.1299784,1716392028.1044652,1716392028.121172,1716392027.5145445,1716392028.104459,1716392028.1211727,1716392028.1299677,,,,,,,,,,0.5930886268615723,2.5332183837890625,0.1171875,0.234375
17,1716392028.1304798,1716392028.8308697,1716392028.807436,1716392028.824371,1716392028.135566,1716392028.8074262,1716392028.824372,1716392028.8308682,,,,,,,,,,0.4573189616203308,2.5332183837890625,0.1171875,0.234375
18,1716392028.8311033,1716392029.4944563,1716392029.4723911,1716392029.4847596,1716392028.8354757,1716392029.472385,1716392029.4847605,1716392029.494455,,,,,,,,,,0.5037415623664856,2.5332183837890625,0.1171875,0.234375
19,1716392029.4946928,1716392030.0832496,1716392030.0592391,1716392030.0762637,1716392029.4986415,1716392030.059228,1716392030.0762644,1716392030.0832484,,,,,,,,,,0.8686357736587524,2.5332183837890625,0.1171875,0.234375
20,1716392030.083485,1716392030.7545207,1716392030.731799,1716392030.7467933,1716392030.0879157,1716392030.7317924,1716392030.746794,1716392030.7545195,,,,,,,,,,0.6641184091567993,2.5332183837890625,0.1171875,0.234375
21,1716392030.7547219,1716392031.4175754,1716392031.3941612,1716392031.4116356,1716392030.7580137,1716392031.394154,1716392031.4116368,1716392031.417574,,,,,,,,,,0.4436129331588745,2.5332183837890625,0.1171875,0.234375
22,1716392031.4178445,1716392032.0216517,1716392031.998215,1716392032.0150495,1716392031.4225166,1716392031.998209,1716392032.0150502,1716392032.0216503,,,,,,,,,,0.6511463522911072,2.5332183837890625,0.1171875,0.234375
23,1716392032.021882,1716392032.766295,1716392032.7434545,1716392032.7579436,1716392032.025653,1716392032.7434485,1716392032.7579443,1716392032.7662938,,,,,,,,,,0.5340629816055298,2.5332183837890625,0.1171875,0.234375
24,1716392032.7665472,1716392033.4233172,1716392033.398454,1716392033.4153,1716392032.7700446,1716392033.3984485,1716392033.4153006,1716392033.4233155,,,,,,,,,,0.4282028079032898,2.5332183837890625,0.1171875,0.234375
25,1716392033.4235518,1716392034.1065502,1716392034.081893,1716392034.0979378,1716392033.427576,1716392034.0818841,1716392034.0979385,1716392034.1065488,,,,,,,,,,0.41195106506347656,2.5332183837890625,0.1171875,0.234375
26,1716392034.225675,1716392034.7459235,1716392034.7193458,1716392034.7406816,1716392034.229426,1716392034.7193353,1716392034.7406826,1716392034.7459223,,,,,,,,,,0.20095956325531006,2.5332183837890625,0.1171875,0.234375
27,1716392034.746184,1716392035.4844172,1716392035.4554365,1716392035.4752517,1716392034.7528582,1716392035.4554288,1716392035.4752522,1716392035.4844155,,,,,,,,,,0.41116052865982056,2.5332183837890625,0.1171875,0.234375
28,1716392035.4846869,1716392036.2532449,1716392036.2290807,1716392036.2446923,1716392035.489356,1716392036.2290704,1716392036.244693,1716392036.253243,,,,,,,,,,0.3341027498245239,2.5332183837890625,0.1171875,0.234375
29,1716392036.253509,1716392036.9637012,1716392036.9390714,1716392036.9554715,1716392036.2598834,1716392036.9390635,1716392036.9554725,1716392036.9637,,,,,,,,,,0.3765982985496521,2.5332183837890625,0.1171875,0.234375
30,1716392036.9639454,1716392037.6449528,1716392037.6225955,1716392037.639971,1716392036.9998517,1716392037.622589,1716392037.6399717,1716392037.6449516,,,,,,,,,,0.3917030096054077,2.5332183837890625,0.1171875,0.234375
31,1716392037.6452093,1716392038.286772,1716392038.2638612,1716392038.278124,1716392037.6496964,1716392038.263843,1716392038.2781248,1716392038.2867699,,,,,,,,,,0.31891578435897827,2.5332183837890625,0.1171875,0.234375
32,1716392038.2870352,1716392038.9563613,1716392038.9337738,1716392038.9509804,1716392038.2906995,1716392038.9337626,1716392038.950981,1716392038.9563599,,,,,,,,,,0.5667697191238403,2.5332183837890625,0.1171875,0.234375
