epoch,start.epoch,end.epoch,start.calc_gradients,end.calc_gradients,start.recv_data,end.recv_data,start.send,end.send,start.swap_recv_instruction,end.swap_recv_instruction,start.load_state_dict,end.load_state_dict,start.swap_recv,end.swap_recv,start.swap_send,end.swap_send,swap_with,mean_d_loss,size.model,size.sent,size.recv
0,1716385412.6474886,1716385414.5319293,1716385412.9868264,1716385414.493438,1716385412.6526968,1716385412.9868178,1716385414.4934385,1716385414.5319276,,,,,,,,,,1.4492334127426147,2.5332183837890625,0.1171875,0.234375
1,1716385414.532132,1716385419.2078521,1716385419.1204238,1716385419.1882203,1716385414.5357847,1716385419.1204102,1716385419.188221,1716385419.2078512,,,,,,,,,,1.2502326965332031,2.5332183837890625,0.1171875,0.234375
2,1716385419.2080743,1716385419.621468,1716385419.5510895,1716385419.6030052,1716385419.2127557,1716385419.5510788,1716385419.6030061,1716385419.621467,,,,,,,,,,0.8810964226722717,2.5332183837890625,0.1171875,0.234375
3,1716385419.6231065,1716385419.9283667,1716385419.8766892,1716385419.920934,1716385419.6276915,1716385419.8766806,1716385419.9209344,1716385419.9283652,,,,,,,,,,1.4940497875213623,2.5332183837890625,0.1171875,0.234375
4,1716385419.9324253,1716385420.2093902,1716385420.1492958,1716385420.1981459,1716385419.9472253,1716385420.1492844,1716385420.1981466,1716385420.209389,,,,,,,,,,1.167243242263794,2.5332183837890625,0.1171875,0.234375
5,1716385420.2095635,1716385420.5162232,1716385420.450658,1716385420.498802,1716385420.2492874,1716385420.450648,1716385420.4988024,1716385420.5162222,,,,,,,,,,1.1883515119552612,2.5332183837890625,0.1171875,0.234375
6,1716385420.5219188,1716385420.8193874,1716385420.7334704,1716385420.7853165,1716385420.5317523,1716385420.733463,1716385420.7853172,1716385420.819386,,,,,,,,,,1.0183517932891846,2.5332183837890625,0.1171875,0.234375
7,1716385420.8196216,1716385421.0891457,1716385421.0350857,1716385421.062172,1716385420.8226998,1716385421.0350747,1716385421.0621727,1716385421.0891438,,,,,,,,,,0.9788730144500732,2.5332183837890625,0.1171875,0.234375
8,1716385421.0930705,1716385421.4221535,1716385421.3321447,1716385421.3961642,1716385421.0985959,1716385421.3321378,1716385421.3961651,1716385421.4221525,,,,,,,,,,1.055695652961731,2.5332183837890625,0.1171875,0.234375
9,1716385421.431983,1716385421.6860886,1716385421.6301482,1716385421.6736333,1716385421.4372108,1716385421.6301415,1716385421.6736338,1716385421.6860874,,,,,,,,,,0.7844345569610596,2.5332183837890625,0.1171875,0.234375
10,1716385421.6863625,1716385421.965467,1716385421.8880723,1716385421.9436815,1716385421.6915605,1716385421.888061,1716385421.9436822,1716385421.9654546,,,,,,,,,,1.0177479982376099,2.5332183837890625,0.1171875,0.234375
11,1716385421.9656465,1716385422.2356884,1716385422.18827,1716385422.223985,1716385421.9689395,1716385422.1882594,1716385422.2239854,1716385422.2356873,,,,,,,,,,1.1945364475250244,2.5332183837890625,0.1171875,0.234375
12,1716385422.235891,1716385422.5002398,1716385422.466106,1716385422.4923067,1716385422.265053,1716385422.4660969,1716385422.4923074,1716385422.5002391,,,,,,,,,,0.8742725849151611,2.5332183837890625,0.1171875,0.234375
