epoch,start.epoch,end.epoch,start.epoch_calculation,end.epoch_calculation,start.send_data,end.send_data,start.recv_data,end.recv_data,start.calc_gradients,end.calc_gradients,start.agg_gradients,end.agg_gradients,start.generate_data,end.generate_data,fid,is,start.fid,end.fid,start.is,end.is,size.data,size.feedback,start.swap,end.swap,swap,size.sent,size.recv
0,1716378951.1667151,1716378957.5920336,1716378951.1667156,1716378953.3440857,1716378951.65416,1716378951.736011,1716378951.7361844,1716378953.1494603,1716378953.2557952,1716378953.3440826,1716378953.150174,1716378953.2556357,1716378951.1667213,1716378951.6541588,534.154052734375,1.1736619472503662,1716378954.3962247,1716378957.5283284,1716378953.3555737,1716378954.3961632,0.234375,1.171875,,,False,2.34375,1.171875
1,1716378957.5922742,1716378957.877084,1716378957.5922744,1716378957.877083,1716378957.5940127,1716378957.6925077,1716378957.6925921,1716378957.8600676,1716378957.875933,1716378957.8770816,1716378957.8607926,1716378957.8757834,1716378957.5922794,1716378957.594012,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
2,1716378957.8772454,1716378958.095828,1716378957.8772457,1716378958.0958266,1716378957.8784275,1716378957.9972866,1716378957.9973774,1716378958.0798194,1716378958.094937,1716378958.0958254,1716378958.0803628,1716378958.094837,1716378957.8772511,1716378957.8784268,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
3,1716378958.0959635,1716378958.252055,1716378958.095964,1716378958.2520542,1716378958.097166,1716378958.1699002,1716378958.1699607,1716378958.2360637,1716378958.2512114,1716378958.252053,1716378958.2366514,1716378958.2510967,1716378958.0959694,1716378958.0971658,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
4,1716378958.25221,1716378958.4049451,1716378958.2522101,1716378958.4049444,1716378958.2535503,1716378958.3378685,1716378958.3379495,1716378958.3894606,1716378958.404008,1716378958.404943,1716378958.389984,1716378958.4039211,1716378958.2522168,1716378958.2535496,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
5,1716378958.4050963,1716378958.551766,1716378958.4050968,1716378958.551765,1716378958.4062085,1716378958.4627087,1716378958.4627676,1716378958.5342438,1716378958.5506852,1716378958.551763,1716378958.5347698,1716378958.550598,1716378958.4051023,1716378958.406208,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
6,1716378958.5519462,1716378958.6986446,1716378958.5519466,1716378958.698644,1716378958.5531702,1716378958.6085932,1716378958.6086614,1716378958.6827178,1716378958.6977742,1716378958.6986425,1716378958.6832802,1716378958.697679,1716378958.5519557,1716378958.5531695,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
7,1716378958.6987722,1716378958.8173249,1716378958.6987724,1716378958.8173237,1716378958.6998296,1716378958.7479093,1716378958.747985,1716378958.8001552,1716378958.8160276,1716378958.8173223,1716378958.8007662,1716378958.8159096,1716378958.698778,1716378958.6998293,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
8,1716378958.8174787,1716378958.9507248,1716378958.817479,1716378958.9507241,1716378958.8186934,1716378958.8716714,1716378958.8717613,1716378958.933543,1716378958.9497948,1716378958.950723,1716378958.9341211,1716378958.949689,1716378958.8174865,1716378958.8186927,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
9,1716378958.950859,1716378959.0769668,1716378958.9508593,1716378959.0769656,1716378958.951944,1716378959.0067801,1716378959.006864,1716378959.06104,1716378959.0760267,1716378959.0769644,1716378959.0615737,1716378959.075935,1716378958.9508638,1716378958.9519436,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
10,1716378959.0771017,1716378959.209925,1716378959.0771022,1716378959.2099237,1716378959.0781367,1716378959.1388376,1716378959.138878,1716378959.1934485,1716378959.2089386,1716378959.2099226,1716378959.1939874,1716378959.208843,1716378959.0771074,1716378959.0781357,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
11,1716378959.2100682,1716378959.3374712,1716378959.2100687,1716378959.3374705,1716378959.2112563,1716378959.260243,1716378959.260331,1716378959.3208704,1716378959.336598,1716378959.3374689,1716378959.3213959,1716378959.3364975,1716378959.2100742,1716378959.2112556,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
12,1716378959.3376026,1716378959.4577692,1716378959.3376029,1716378959.4577684,1716378959.3387065,1716378959.3901947,1716378959.3902888,1716378959.4409943,1716378959.4568644,1716378959.4577672,1716378959.4415133,1716378959.4567583,1716378959.3376105,1716378959.3387058,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
13,1716378959.457906,1716378959.5895631,1716378959.4579065,1716378959.5895622,1716378959.4589872,1716378959.5133731,1716378959.5136147,1716378959.573074,1716378959.588591,1716378959.5895607,1716378959.5736253,1716378959.5884273,1716378959.4579139,1716378959.4589868,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
14,1716378959.5897121,1716378959.7196062,1716378959.5897126,1716378959.7196052,1716378959.5908327,1716378959.645769,1716378959.6459568,1716378959.7038558,1716378959.718773,1716378959.719604,1716378959.704375,1716378959.7186763,1716378959.5897179,1716378959.5908322,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
15,1716378959.7197347,1716378959.8412018,1716378959.7197354,1716378959.8412006,1716378959.7208369,1716378959.771773,1716378959.7718585,1716378959.8255918,1716378959.840146,1716378959.8411987,1716378959.8260937,1716378959.8400557,1716378959.7197428,1716378959.7208362,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
16,1716378959.8413415,1716378959.9636898,1716378959.8413417,1716378959.9636886,1716378959.8423834,1716378959.894751,1716378959.8948312,1716378959.947446,1716378959.9628155,1716378959.9636872,1716378959.9479606,1716378959.9627063,1716378959.841347,1716378959.842383,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
17,1716378959.9638288,1716378960.090906,1716378959.9638293,1716378960.0909052,1716378959.965047,1716378960.0149968,1716378960.0151095,1716378960.074134,1716378960.0900228,1716378960.0909038,1716378960.0747125,1716378960.0899084,1716378959.9638343,1716378959.965046,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
18,1716378960.0910652,1716378960.2192845,1716378960.0910654,1716378960.2192838,1716378960.0921519,1716378960.1462805,1716378960.146356,1716378960.2030265,1716378960.2183468,1716378960.2192824,1716378960.2036786,1716378960.2182136,1716378960.0910707,1716378960.0921514,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
19,1716378960.2194338,1716378960.352036,1716378960.219434,1716378960.352035,1716378960.220578,1716378960.2686656,1716378960.2687504,1716378960.3348699,1716378960.351163,1716378960.3520339,1716378960.335483,1716378960.351038,1716378960.2194393,1716378960.2205772,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
20,1716378960.3521736,1716378960.4798858,1716378960.352174,1716378960.479885,1716378960.3533332,1716378960.405108,1716378960.4059103,1716378960.4630687,1716378960.4789178,1716378960.4798834,1716378960.4637172,1716378960.4787955,1716378960.352181,1716378960.3533328,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
21,1716378960.4800446,1716378960.601648,1716378960.4800448,1716378960.6016471,1716378960.4813495,1716378960.5536385,1716378960.5537071,1716378960.5857697,1716378960.6006792,1716378960.6016457,1716378960.586485,1716378960.600546,1716378960.4800503,1716378960.4813485,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
22,1716378960.6018336,1716378960.727333,1716378960.601834,1716378960.727332,1716378960.6028855,1716378960.6533153,1716378960.6533859,1716378960.7104278,1716378960.7263572,1716378960.7273304,1716378960.7110891,1716378960.7262254,1716378960.6018395,1716378960.6028848,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
23,1716378960.7275,1716378960.8603227,1716378960.7275004,1716378960.860322,1716378960.728817,1716378960.8081596,1716378960.8082674,1716378960.8442616,1716378960.8594558,1716378960.8603208,1716378960.844808,1716378960.8593643,1716378960.7275062,1716378960.728816,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
24,1716378960.8604496,1716378960.9758174,1716378960.86045,1716378960.9758162,1716378960.8615289,1716378960.911058,1716378960.9111357,1716378960.9600813,1716378960.9749246,1716378960.9758148,1716378960.9607253,1716378960.974816,1716378960.8604555,1716378960.8615284,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
25,1716378960.9760087,1716378961.1021194,1716378960.9760091,1716378961.1021185,1716378960.9772081,1716378961.0317504,1716378961.0318244,1716378961.08585,1716378961.1011477,1716378961.1021168,1716378961.0864549,1716378961.1010177,1716378960.9760163,1716378960.9772077,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
26,1716378961.102321,1716378961.2218497,1716378961.1023216,1716378961.2218487,1716378961.1035082,1716378961.1558583,1716378961.1560326,1716378961.2054977,1716378961.2208796,1716378961.2218473,1716378961.2060454,1716378961.2207718,1716378961.10233,1716378961.1035078,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
27,1716378961.221999,1716378961.3530333,1716378961.2219994,1716378961.3530324,1716378961.2231615,1716378961.2791395,1716378961.2792587,1716378961.3373582,1716378961.3521166,1716378961.353031,1716378961.3378766,1716378961.3520179,1716378961.2220044,1716378961.2231607,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
28,1716378961.353162,1716378961.4862278,1716378961.3531625,1716378961.4862263,1716378961.354202,1716378961.4051497,1716378961.405284,1716378961.4692438,1716378961.485328,1716378961.486225,1716378961.4697757,1716378961.4852066,1716378961.3531675,1716378961.3542018,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
29,1716378961.4863563,1716378961.6110842,1716378961.4863567,1716378961.6110835,1716378961.4874876,1716378961.5467234,1716378961.546827,1716378961.59426,1716378961.6101494,1716378961.611082,1716378961.5949223,1716378961.610012,1716378961.4863617,1716378961.4874873,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
30,1716378961.611227,1716378961.7347553,1716378961.6112273,1716378961.7347543,1716378961.6123965,1716378961.669224,1716378961.669263,1716378961.717239,1716378961.7337646,1716378961.7347527,1716378961.7178013,1716378961.7336583,1716378961.6112328,1716378961.612396,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
31,1716378961.734925,1716378961.8640802,1716378961.7349253,1716378961.8640788,1716378961.736354,1716378961.7910624,1716378961.7911398,1716378961.8472967,1716378961.8631706,1716378961.8640776,1716378961.8478487,1716378961.8630624,1716378961.734935,1716378961.7363534,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
32,1716378961.8642175,1716378961.9998019,1716378961.864218,1716378961.9998012,1716378961.86536,1716378961.9184942,1716378961.9185314,1716378961.982498,1716378961.9989202,1716378961.9997997,1716378961.98304,1716378961.9988263,1716378961.8642259,1716378961.8653595,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
33,1716378961.99993,1716378962.1452508,1716378961.9999304,1716378962.1452498,1716378962.0011082,1716378962.0371773,1716378962.0372453,1716378962.1236086,1716378962.144067,1716378962.1452482,1716378962.1243463,1716378962.1439035,1716378961.9999375,1716378962.0011077,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
34,1716378962.1454618,1716378962.3471322,1716378962.1454623,1716378962.3471308,1716378962.1468327,1716378962.2608128,1716378962.260909,1716378962.3192766,1716378962.3456075,1716378962.347129,1716378962.3200717,1716378962.3454316,1716378962.1454692,1716378962.1468322,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
35,1716378962.347359,1716378962.4869096,1716378962.3473594,1716378962.4869087,1716378962.348923,1716378962.3951654,1716378962.395228,1716378962.4639802,1716378962.4858158,1716378962.4869072,1716378962.464694,1716378962.4856546,1716378962.3473666,1716378962.3489223,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
36,1716378962.4870608,1716378962.635891,1716378962.4870613,1716378962.6358898,1716378962.4881866,1716378962.5704625,1716378962.5706897,1716378962.6106098,1716378962.6345701,1716378962.6358876,1716378962.6113517,1716378962.6344137,1716378962.4870696,1716378962.488186,,,,,,,0.234375,1.171875,,,False,2.34375,1.171875
