epoch,start.epoch,end.epoch,start.calc_gradients,end.calc_gradients,start.recv_data,end.recv_data,start.send,end.send,start.swap_recv_instruction,end.swap_recv_instruction,start.load_state_dict,end.load_state_dict,start.swap_recv,end.swap_recv,start.swap_send,end.swap_send,swap_with,mean_d_loss,size.model,size.sent,size.recv
0,1716398400.6247797,1716398401.184622,1716398400.7858698,1716398401.1462722,1716398400.630018,1716398400.7858655,1716398401.1462724,1716398401.1846209,,,,,,,,,,1.759167194366455,2.5332183837890625,0.1171875,0.234375
1,1716398401.1847765,1716398405.3378038,1716398405.320188,1716398405.333892,1716398401.1880145,1716398405.3201811,1716398405.3338928,1716398405.3378026,,,,,,,,,,1.1854960918426514,2.5332183837890625,0.1171875,0.234375
2,1716398405.3379562,1716398405.4712718,1716398405.450432,1716398405.4640424,1716398405.3407893,1716398405.4504247,1716398405.4640434,1716398405.4712706,,,,,,,,,,1.3431556224822998,2.5332183837890625,0.1171875,0.234375
3,1716398405.471445,1716398405.5557263,1716398405.533682,1716398405.5483701,1716398405.4753463,1716398405.533678,1716398405.5483708,1716398405.5557256,,,,,,,,,,1.2678874731063843,2.5332183837890625,0.1171875,0.234375
4,1716398405.5558484,1716398405.6362772,1716398405.619484,1716398405.6325848,1716398405.5586598,1716398405.6194792,1716398405.632585,1716398405.6362765,,,,,,,,,,0.962598443031311,2.5332183837890625,0.1171875,0.234375
5,1716398405.6364126,1716398405.7046463,1716398405.6860876,1716398405.699792,1716398405.6392887,1716398405.6860836,1716398405.6997924,1716398405.7046456,,,,,,,,,,1.1938947439193726,2.5332183837890625,0.1171875,0.234375
6,1716398405.7047765,1716398405.77435,1716398405.7527087,1716398405.7670572,1716398405.7078962,1716398405.7527053,1716398405.7670574,1716398405.774349,,,,,,,,,,1.1693408489227295,2.5332183837890625,0.1171875,0.234375
7,1716398405.7744598,1716398405.8424785,1716398405.8215265,1716398405.8353014,1716398405.7771711,1716398405.821522,1716398405.8353016,1716398405.8424778,,,,,,,,,,1.2720131874084473,2.5332183837890625,0.1171875,0.234375
8,1716398405.8425984,1716398405.9075232,1716398405.88718,1716398405.9002593,1716398405.845293,1716398405.8871768,1716398405.9002595,1716398405.9075227,,,,,,,,,,0.9356881380081177,2.5332183837890625,0.1171875,0.234375
9,1716398405.9076457,1716398405.9726603,1716398405.9523253,1716398405.965378,1716398405.9103494,1716398405.952322,1716398405.9653783,1716398405.9726598,,,,,,,,,,0.9487782716751099,2.5332183837890625,0.1171875,0.234375
10,1716398405.972771,1716398406.0383723,1716398406.016553,1716398406.0311127,1716398405.9754179,1716398406.0165486,1716398406.0311131,1716398406.0383716,,,,,,,,,,0.8672996759414673,2.5332183837890625,0.1171875,0.234375
11,1716398406.038493,1716398406.1052995,1716398406.0835414,1716398406.0981112,1716398406.041515,1716398406.0835383,1716398406.0981114,1716398406.1052988,,,,,,,,,,0.8004507422447205,2.5332183837890625,0.1171875,0.234375
12,1716398406.1054218,1716398406.1695278,1716398406.1491652,1716398406.1623437,1716398406.1081603,1716398406.149161,1716398406.162344,1716398406.169527,,,,,,,,,,0.9652632474899292,2.5332183837890625,0.1171875,0.234375
13,1716398406.169695,1716398406.2327907,1716398406.211985,1716398406.22543,1716398406.172696,1716398406.2119813,1716398406.2254305,1716398406.2327898,,,,,,,,,,1.0636177062988281,2.5332183837890625,0.1171875,0.234375
14,1716398406.2329137,1716398406.2982094,1716398406.2776117,1716398406.2910001,1716398406.2358246,1716398406.2776077,1716398406.2910006,1716398406.2982087,,,,,,,,,,0.7343510389328003,2.5332183837890625,0.1171875,0.234375
15,1716398406.298341,1716398406.3619225,1716398406.3405545,1716398406.3545482,1716398406.301718,1716398406.340551,1716398406.3545485,1716398406.3619218,,,,,,,,,,0.9424821138381958,2.5332183837890625,0.1171875,0.234375
16,1716398406.3620365,1716398406.4259834,1716398406.4055407,1716398406.418717,1716398406.364785,1716398406.4055371,1716398406.4187174,1716398406.425983,,,,,,,,,,0.9351927042007446,2.5332183837890625,0.1171875,0.234375
17,1716398406.4261186,1716398406.4899776,1716398406.469443,1716398406.4826956,1716398406.4289927,1716398406.469439,1716398406.4826963,1716398406.4899771,,,,,,,,,,0.5828193426132202,2.5332183837890625,0.1171875,0.234375
18,1716398406.4900923,1716398406.5550315,1716398406.5344493,1716398406.5477734,1716398406.492831,1716398406.5344455,1716398406.5477736,1716398406.555031,,,,,,,,,,1.0995666980743408,2.5332183837890625,0.1171875,0.234375
19,1716398406.5551455,1716398406.6191816,1716398406.5984802,1716398406.611916,1716398406.5577059,1716398406.5984755,1716398406.6119163,1716398406.6191812,,,,,,,,,,0.41254597902297974,2.5332183837890625,0.1171875,0.234375
20,1716398406.6192994,1716398406.6848366,1716398406.663756,1716398406.6774886,1716398406.6221256,1716398406.6637495,1716398406.6774888,1716398406.684836,,,,,,,,,,0.8990616798400879,2.5332183837890625,0.1171875,0.234375
21,1716398406.6849663,1716398406.7487862,1716398406.7283218,1716398406.7415936,1716398406.6878746,1716398406.728317,1716398406.741594,1716398406.7487855,,,,,,,,,,0.8499094843864441,2.5332183837890625,0.1171875,0.234375
22,1716398406.7489047,1716398406.813359,1716398406.7928772,1716398406.8060265,1716398406.751651,1716398406.7928731,1716398406.8060267,1716398406.8133585,,,,,,,,,,0.4628223180770874,2.5332183837890625,0.1171875,0.234375
23,1716398406.8134751,1716398406.8770478,1716398406.8566377,1716398406.8697793,1716398406.8161452,1716398406.8566334,1716398406.8697798,1716398406.8770473,,,,,,,,,,0.5700335502624512,2.5332183837890625,0.1171875,0.234375
24,1716398406.8771927,1716398406.940141,1716398406.9193738,1716398406.9328527,1716398406.8798466,1716398406.9193697,1716398406.932853,1716398406.9401402,,,,,,,,,,0.48022788763046265,2.5332183837890625,0.1171875,0.234375
25,1716398406.9402766,1716398407.0035667,1716398406.9831953,1716398406.9962451,1716398406.9431136,1716398406.9831913,1716398406.9962459,1716398407.0035658,,,,,,,,,,0.6482512950897217,2.5332183837890625,0.1171875,0.234375
26,1716398407.003687,1716398407.0659359,1716398407.0454268,1716398407.0587587,1716398407.0063665,1716398407.045423,1716398407.0587592,1716398407.0659354,,,,,,,,,,0.3510510325431824,2.5332183837890625,0.1171875,0.234375
27,1716398407.0660493,1716398407.1274683,1716398407.1069949,1716398407.1202765,1716398407.0687852,1716398407.1069915,1716398407.1202767,1716398407.1274676,,,,,,,,,,0.35216835141181946,2.5332183837890625,0.1171875,0.234375
28,1716398407.127585,1716398407.1908152,1716398407.1690104,1716398407.183541,1716398407.1303318,1716398407.1690059,1716398407.1835413,1716398407.1908147,,,,,,,,,,0.5687417984008789,2.5332183837890625,0.1171875,0.234375
29,1716398407.190954,1716398407.253939,1716398407.2323027,1716398407.2467601,1716398407.1937902,1716398407.2322967,1716398407.2467604,1716398407.2539384,,,,,,,,,,0.45705777406692505,2.5332183837890625,0.1171875,0.234375
30,1716398407.2540534,1716398407.3166003,1716398407.296039,1716398407.309213,1716398407.2567832,1716398407.2960348,1716398407.3092132,1716398407.3165998,,,,,,,,,,0.35897910594940186,2.5332183837890625,0.1171875,0.234375
31,1716398407.3167186,1716398407.3786657,1716398407.357978,1716398407.3714736,1716398407.319415,1716398407.3579745,1716398407.371474,1716398407.3786652,,,,,,,,,,0.8160458207130432,2.5332183837890625,0.1171875,0.234375
32,1716398407.3787863,1716398407.4414442,1716398407.4209785,1716398407.4342685,1716398407.381498,1716398407.4209743,1716398407.4342687,1716398407.4414437,,,,,,,,,,0.5371681451797485,2.5332183837890625,0.1171875,0.234375
33,1716398407.4415617,1716398407.5046794,1716398407.4837768,1716398407.4973266,1716398407.4442148,1716398407.483764,1716398407.4973269,1716398407.504679,,,,,,,,,,0.30342185497283936,2.5332183837890625,0.1171875,0.234375
34,1716398407.5047996,1716398407.567584,1716398407.5468094,1716398407.5602164,1716398407.5075526,1716398407.5468044,1716398407.560217,1716398407.5675833,,,,,,,,,,0.4777776598930359,2.5332183837890625,0.1171875,0.234375
35,1716398407.567708,1716398407.6299818,1716398407.6092298,1716398407.6227775,1716398407.5704389,1716398407.6092253,1716398407.6227777,1716398407.6299813,,,,,,,,,,0.2825853228569031,2.5332183837890625,0.1171875,0.234375
36,1716398407.6301548,1716398407.6922472,1716398407.671746,1716398407.6850495,1716398407.6328065,1716398407.671742,1716398407.6850498,1716398407.6922462,,,,,,,,,,0.5041598081588745,2.5332183837890625,0.1171875,0.234375
37,1716398407.6923645,1716398407.754036,1716398407.733329,1716398407.7466867,1716398407.6950724,1716398407.7333252,1716398407.746687,1716398407.7540355,,,,,,,,,,0.3679104447364807,2.5332183837890625,0.1171875,0.234375
38,1716398407.7541513,1716398407.8159554,1716398407.7954595,1716398407.808613,1716398407.7568712,1716398407.795455,1716398407.8086133,1716398407.815955,,,,,,,,,,0.3672874867916107,2.5332183837890625,0.1171875,0.234375
39,1716398407.8160768,1716398407.8780887,1716398407.8572884,1716398407.8709393,1716398407.8188698,1716398407.8572834,1716398407.8709397,1716398407.8780882,,,,,,,,,,0.16958141326904297,2.5332183837890625,0.1171875,0.234375
40,1716398407.8782036,1716398407.940349,1716398407.9202726,1716398407.9330895,1716398407.8809392,1716398407.9202685,1716398407.9330897,1716398407.9403484,,,,,,,,,,0.40783634781837463,2.5332183837890625,0.1171875,0.234375
41,1716398407.9404743,1716398408.0022733,1716398407.9821205,1716398407.9950216,1716398407.9430768,1716398407.982117,1716398407.995022,1716398408.0022726,,,,,,,,,,0.31485065817832947,2.5332183837890625,0.1171875,0.234375
42,1716398408.0023913,1716398408.064899,1716398408.0443287,1716398408.0576282,1716398408.005035,1716398408.044325,1716398408.0576286,1716398408.0648983,,,,,,,,,,0.3478023409843445,2.5332183837890625,0.1171875,0.234375
43,1716398408.0650215,1716398408.1277754,1716398408.1071577,1716398408.1205225,1716398408.0678284,1716398408.1071537,1716398408.1205227,1716398408.127775,,,,,,,,,,0.41649752855300903,2.5332183837890625,0.1171875,0.234375
44,1716398408.1278894,1716398408.190676,1716398408.1701,1716398408.183406,1716398408.1307333,1716398408.1700964,1716398408.1834064,1716398408.1906755,,,,,,,,,,0.33653393387794495,2.5332183837890625,0.1171875,0.234375
45,1716398408.190791,1716398408.2539415,1716398408.2323694,1716398408.246688,1716398408.1938305,1716398408.232365,1716398408.2466886,1716398408.253941,,,,,,,,,,0.3863268196582794,2.5332183837890625,0.1171875,0.234375
46,1716398408.2540562,1716398408.3161042,1716398408.2955594,1716398408.3088334,1716398408.2568104,1716398408.2955558,1716398408.3088338,1716398408.3161035,,,,,,,,,,0.10008367896080017,2.5332183837890625,0.1171875,0.234375
47,1716398408.3162374,1716398408.3777807,1716398408.3574524,1716398408.3705401,1716398408.3188353,1716398408.3574488,1716398408.3705406,1716398408.37778,,,,,,,,,,0.3637169599533081,2.5332183837890625,0.1171875,0.234375
48,1716398408.3778977,1716398408.4405086,1716398408.4202223,1716398408.4332485,1716398408.3806553,1716398408.4202187,1716398408.4332488,1716398408.4405081,,,,,,,,,,0.5057995319366455,2.5332183837890625,0.1171875,0.234375
49,1716398408.4406307,1716398408.5024586,1716398408.481877,1716398408.4951932,1716398408.4430804,1716398408.481873,1716398408.495194,1716398408.5024576,,,,,,,,,,0.6405326128005981,2.5332183837890625,0.1171875,0.234375
50,1716398408.5025856,1716398408.564093,1716398408.5435786,1716398408.556839,1716398408.5053453,1716398408.5435753,1716398408.5568392,1716398408.5640926,,,,,,,,,,0.12977029383182526,2.5332183837890625,0.1171875,0.234375
51,1716398408.5642068,1716398408.6260204,1716398408.6056044,1716398408.6187675,1716398408.5668507,1716398408.6056006,1716398408.618768,1716398408.6260195,,,,,,,,,,0.11071182787418365,2.5332183837890625,0.1171875,0.234375
52,1716398408.6261337,1716398408.6876144,1716398408.6672463,1716398408.6803663,1716398408.6287398,1716398408.6672432,1716398408.6803665,1716398408.6876137,,,,,,,,,,0.12607452273368835,2.5332183837890625,0.1171875,0.234375
53,1716398408.687726,1716398408.7500734,1716398408.7297387,1716398408.7428162,1716398408.6902828,1716398408.7297354,1716398408.7428167,1716398408.7500725,,,,,,,,,,0.14250780642032623,2.5332183837890625,0.1171875,0.234375
54,1716398408.75019,1716398408.8134952,1716398408.7930305,1716398408.8062587,1716398408.7527642,1716398408.7930274,1716398408.8062592,1716398408.8134944,,,,,,,,,,0.21031542122364044,2.5332183837890625,0.1171875,0.234375
55,1716398408.813614,1716398408.8757324,1716398408.855205,1716398408.8684893,1716398408.8161922,1716398408.8552012,1716398408.8684897,1716398408.8757317,,,,,,,,,,0.539558470249176,2.5332183837890625,0.1171875,0.234375
56,1716398408.8758554,1716398408.9373422,1716398408.9170294,1716398408.9300766,1716398408.8788943,1716398408.9170258,1716398408.930077,1716398408.9373412,,,,,,,,,,0.3154367506504059,2.5332183837890625,0.1171875,0.234375
57,1716398408.9374723,1716398408.9994454,1716398408.9791074,1716398408.992192,1716398408.9405541,1716398408.9791033,1716398408.9921925,1716398408.9994447,,,,,,,,,,0.25333431363105774,2.5332183837890625,0.1171875,0.234375
58,1716398408.999582,1716398409.0612268,1716398409.040658,1716398409.053962,1716398409.002319,1716398409.0406544,1716398409.0539625,1716398409.0612261,,,,,,,,,,0.2124527394771576,2.5332183837890625,0.1171875,0.234375
59,1716398409.0613399,1716398409.1229153,1716398409.1024258,1716398409.1156619,1716398409.0638757,1716398409.1024227,1716398409.1156623,1716398409.1229148,,,,,,,,,,0.07680585235357285,2.5332183837890625,0.1171875,0.234375
60,1716398409.1230261,1716398409.1852906,1716398409.164798,1716398409.1780477,1716398409.1255653,1716398409.1647944,1716398409.1780484,1716398409.1852896,,,,,,,,,,0.12237009406089783,2.5332183837890625,0.1171875,0.234375
61,1716398409.1854038,1716398409.2467356,1716398409.2262254,1716398409.2394857,1716398409.1879432,1716398409.2262218,1716398409.2394862,1716398409.2467349,,,,,,,,,,0.23659905791282654,2.5332183837890625,0.1171875,0.234375
62,1716398409.2468488,1716398409.3090081,1716398409.2884524,1716398409.3017478,1716398409.2494562,1716398409.2884488,1716398409.3017483,1716398409.3090074,,,,,,,,,,0.249338760972023,2.5332183837890625,0.1171875,0.234375
63,1716398409.3091216,1716398409.3709533,1716398409.3505065,1716398409.3637187,1716398409.311748,1716398409.3505034,1716398409.363719,1716398409.3709521,,,,,,,,,,0.30250024795532227,2.5332183837890625,0.1171875,0.234375
64,1716398409.371065,1716398409.4337406,1716398409.413326,1716398409.4264958,1716398409.3735862,1716398409.4133232,1716398409.4264963,1716398409.4337397,,,,,,,,,,0.17731398344039917,2.5332183837890625,0.1171875,0.234375
