epoch,start.epoch,end.epoch,start.calc_gradients,end.calc_gradients,start.recv_data,end.recv_data,start.send,end.send,start.swap_recv_instruction,end.swap_recv_instruction,start.load_state_dict,end.load_state_dict,start.swap_recv,end.swap_recv,start.swap_send,end.swap_send,swap_with,mean_d_loss,size.model,size.sent,size.recv
0,1716392010.8589091,1716392012.7766113,1716392011.3217864,1716392012.7356741,1716392010.8637207,1716392011.3217795,1716392012.735675,1716392012.7766092,,,,,,,,,,1.1780145168304443,2.5332183837890625,0.1171875,0.234375
1,1716392012.7769248,1716392018.3645773,1716392018.230244,1716392018.3554504,1716392012.784672,1716392018.230238,1716392018.355451,1716392018.3645763,,,,,,,,,,1.1115319728851318,2.5332183837890625,0.1171875,0.234375
2,1716392018.368622,1716392019.1884966,1716392019.0806506,1716392019.1695387,1716392018.372232,1716392019.080628,1716392019.169539,1716392019.1884956,,,,,,,,,,1.3337767124176025,2.5332183837890625,0.1171875,0.234375
3,1716392019.1886616,1716392019.803349,1716392019.743832,1716392019.7788773,1716392019.1916716,1716392019.7438204,1716392019.778878,1716392019.8033483,,,,,,,,,,0.7625524997711182,2.5332183837890625,0.1171875,0.234375
4,1716392019.8036573,1716392020.4896996,1716392020.4402633,1716392020.4783382,1716392019.8073683,1716392020.4402575,1716392020.4783387,1716392020.489699,,,,,,,,,,0.9209550619125366,2.5332183837890625,0.1171875,0.234375
5,1716392020.5057585,1716392021.234394,1716392021.1643858,1716392021.2125454,1716392020.508839,1716392021.1643755,1716392021.212546,1716392021.2343926,,,,,,,,,,0.8880692720413208,2.5332183837890625,0.1171875,0.234375
6,1716392021.2345872,1716392021.9475036,1716392021.8424344,1716392021.9068787,1716392021.2389007,1716392021.8424284,1716392021.9068794,1716392021.9475026,,,,,,,,,,0.8102331757545471,2.5332183837890625,0.1171875,0.234375
7,1716392021.9477134,1716392022.5953054,1716392022.5569036,1716392022.5774105,1716392021.9511313,1716392022.5568986,1716392022.5774112,1716392022.5953043,,,,,,,,,,0.7435845136642456,2.5332183837890625,0.1171875,0.234375
8,1716392022.5964937,1716392023.3102636,1716392023.2322166,1716392023.2967455,1716392022.6007683,1716392023.2322073,1716392023.2967463,1716392023.3102627,,,,,,,,,,0.9337120056152344,2.5332183837890625,0.1171875,0.234375
9,1716392023.3104587,1716392023.993164,1716392023.8989925,1716392023.9448571,1716392023.3138409,1716392023.898988,1716392023.9448576,1716392023.9931629,,,,,,,,,,0.6933485269546509,2.5332183837890625,0.1171875,0.234375
