epoch,start.epoch,end.epoch,start.calc_gradients,end.calc_gradients,start.recv_data,end.recv_data,start.send,end.send,start.swap_recv_instruction,end.swap_recv_instruction,start.load_state_dict,end.load_state_dict,start.swap_recv,end.swap_recv,start.swap_send,end.swap_send,swap_with,mean_d_loss,size.model,size.sent,size.recv
0,1716392010.8219247,1716392012.9208758,1716392011.3190165,1716392012.8817637,1716392010.826983,1716392011.3190088,1716392012.881765,1716392012.9208736,,,,,,,,,,1.2172330617904663,2.5332183837890625,0.1171875,0.234375
1,1716392012.921267,1716392018.368668,1716392018.2017438,1716392018.3647518,1716392012.9248867,1716392018.201736,1716392018.3647525,1716392018.3686671,,,,,,,,,,1.0002827644348145,2.5332183837890625,0.1171875,0.234375
2,1716392018.3688524,1716392019.1206534,1716392019.065566,1716392019.1006,1716392018.3951848,1716392019.065556,1716392019.1006007,1716392019.1206522,,,,,,,,,,1.0581090450286865,2.5332183837890625,0.1171875,0.234375
3,1716392019.1208277,1716392019.8679483,1716392019.7388573,1716392019.8652165,1716392019.1236997,1716392019.7388444,1716392019.865217,1716392019.8679476,,,,,,,,,,1.049539566040039,2.5332183837890625,0.1171875,0.234375
4,1716392019.86808,1716392020.4978752,1716392020.4327319,1716392020.489552,1716392019.8709674,1716392020.4327228,1716392020.489553,1716392020.4978743,,,,,,,,,,1.0819705724716187,2.5332183837890625,0.1171875,0.234375
5,1716392020.4980164,1716392021.2053304,1716392021.1627858,1716392021.1995013,1716392020.5345507,1716392021.1627812,1716392021.1995018,1716392021.2053297,,,,,,,,,,1.360443115234375,2.5332183837890625,0.1171875,0.234375
6,1716392021.2054942,1716392021.984892,1716392021.8385236,1716392021.9173322,1716392021.2176378,1716392021.8385177,1716392021.917333,1716392021.9848907,,,,,,,,,,1.1251884698867798,2.5332183837890625,0.1171875,0.234375
7,1716392021.9851549,1716392022.6335678,1716392022.5530632,1716392022.576553,1716392021.9882483,1716392022.5530558,1716392022.576554,1716392022.6335666,,,,,,,,,,1.3006550073623657,2.5332183837890625,0.1171875,0.234375
8,1716392022.6339364,1716392023.31893,1716392023.2183182,1716392023.2525263,1716392022.6434429,1716392023.2183073,1716392023.2525268,1716392023.3189287,,,,,,,,,,0.8969228267669678,2.5332183837890625,0.1171875,0.234375
9,1716392023.3191442,1716392023.8898737,1716392023.883086,1716392023.8877058,1716392023.3226817,1716392023.8830814,1716392023.887706,1716392023.8898728,,,,,,,,,,0.7298257350921631,2.5332183837890625,0.1171875,0.234375
10,1716392023.890112,1716392024.5723248,1716392024.5450804,1716392024.5666614,1716392023.8931208,1716392024.545075,1716392024.566662,1716392024.5723236,,,,,,,,,,0.8755935430526733,2.5332183837890625,0.1171875,0.234375
11,1716392024.5725186,1716392025.1131556,1716392025.0515075,1716392025.1027243,1716392024.5765135,1716392025.0515022,1716392025.102725,1716392025.1131546,,,,,,,,,,0.8312238454818726,2.5332183837890625,0.1171875,0.234375
12,1716392025.1133573,1716392025.7981093,1716392025.7669609,1716392025.7920675,1716392025.1184216,1716392025.7669528,1716392025.7920682,1716392025.7981079,,,,,,,,,,0.8480652570724487,2.5332183837890625,0.1171875,0.234375
13,1716392025.798289,1716392026.527103,1716392026.3562813,1716392026.4191744,1716392025.853019,1716392026.3562758,1716392026.4191751,1716392026.5271013,,,,,,,,,,1.0313560962677002,2.5332183837890625,0.1171875,0.234375
14,1716392026.5325854,1716392027.1593907,1716392027.0956109,1716392027.152922,1716392026.535953,1716392027.0956051,1716392027.1529226,1716392027.1593897,,,,,,,,,,0.6388282775878906,2.5332183837890625,0.1171875,0.234375
15,1716392027.1595743,1716392027.8378236,1716392027.7409813,1716392027.8165143,1716392027.1625865,1716392027.7409768,1716392027.816515,1716392027.837823,,,,,,,,,,0.42325088381767273,2.5332183837890625,0.1171875,0.234375
16,1716392027.8379679,1716392028.4964788,1716392028.4188478,1716392028.460507,1716392027.840823,1716392028.4188352,1716392028.4605076,1716392028.4964776,,,,,,,,,,1.276123285293579,2.5332183837890625,0.1171875,0.234375
