epoch,start.epoch,end.epoch,start.epoch_calculation,start.discriminator_train,end.discriminator_train,start.generator_train,start.generate_data,end.generate_data,end.generator_train,end.epoch_calculation,start.calc_gradients,end.calc_gradients,absolut_step,mean_d_loss,mean_g_loss,start.train,end.train,start.fid,end.fid,start.is,end.is,fid,is
39,1716380558.1223927,1716380558.1336942,1716380558.122393,1716380558.1255212,1716380558.1288419,1716380558.1288428,1716380558.1224132,1716380558.1254854,1716380558.1312468,1716380558.1336226,1716380558.125486,1716380558.1312475,39,0.20505276322364807,3.705609083175659,1716380558.133623,,,,,,,
40,1716380558.1337261,1716380558.14517,1716380558.1337264,1716380558.1368244,1716380558.1402256,1716380558.1402261,1716380558.1337469,1716380558.1367905,1716380558.142542,1716380558.1450906,1716380558.136791,1716380558.1425428,40,0.6021426916122437,5.3403120040893555,1716380558.1450908,,,,,,,
41,1716380558.1452193,1716380558.1565921,1716380558.1452198,1716380558.1483054,1716380558.1514797,1716380558.1514804,1716380558.1452363,1716380558.1482723,1716380558.154169,1716380558.1565201,1716380558.148273,1716380558.1541698,41,0.28888052701950073,3.8604423999786377,1716380558.1565204,,,,,,,
42,1716380558.156642,1716380558.1683726,1716380558.1566427,1716380558.1601377,1716380558.1633399,1716380558.16334,1716380558.156658,1716380558.1601021,1716380558.165725,1716380558.168299,1716380558.1601026,1716380558.1657257,42,0.3876066207885742,5.27462911605835,1716380558.1682994,,,,,,,
43,1716380558.1684175,1716380558.179614,1716380558.168418,1716380558.171333,1716380558.1746848,1716380558.1746852,1716380558.1684337,1716380558.1713,1716380558.177315,1716380558.1795263,1716380558.1713004,1716380558.177316,43,0.3565046489238739,3.8483245372772217,1716380558.1795268,,,,,,,
44,1716380558.1796582,1716380558.1911514,1716380558.1796587,1716380558.1828825,1716380558.1863732,1716380558.1863737,1716380558.1796918,1716380558.1828477,1716380558.188826,1716380558.19105,1716380558.1828485,1716380558.1888268,44,0.4882093071937561,5.345245361328125,1716380558.1910503,,,,,,,
45,1716380558.1911836,1716380558.2025156,1716380558.1911838,1716380558.194364,1716380558.197853,1716380558.1978538,1716380558.1911964,1716380558.1943305,1716380558.200508,1716380558.2024436,1716380558.194331,1716380558.2005088,45,0.3384275436401367,4.4096808433532715,1716380558.2024438,,,,,,,
46,1716380558.202563,1716380558.2138977,1716380558.2025635,1716380558.2057302,1716380558.209083,1716380558.2090838,1716380558.2025788,1716380558.2056942,1716380558.2116647,1716380558.2138274,1716380558.2056947,1716380558.2116656,46,0.7646579742431641,5.388759136199951,1716380558.2138274,,,,,,,
47,1716380558.2139454,1716380558.2254786,1716380558.2139456,1716380558.217176,1716380558.2206695,1716380558.2206702,1716380558.2139606,1716380558.217143,1716380558.2231305,1716380558.2254035,1716380558.2171435,1716380558.2231312,47,0.28024929761886597,4.635776996612549,1716380558.2254038,,,,,,,
48,1716380558.2255297,1716380558.2368367,1716380558.2255301,1716380558.2285028,1716380558.2317872,1716380558.2317877,1716380558.2255452,1716380558.2284696,1716380558.2343233,1716380558.2367628,1716380558.2284703,1716380558.2343242,48,0.5424884557723999,5.091636657714844,1716380558.2367632,,,,,,,
49,1716380558.2368839,1716380558.248203,1716380558.2368846,1716380558.2398686,1716380558.2431114,1716380558.2431118,1716380558.236901,1716380558.2398348,1716380558.2456887,1716380558.248132,1716380558.2398357,1716380558.2456894,49,0.31546488404273987,5.221124649047852,1716380558.2481325,,,,,,,
50,1716380558.2482545,1716380558.25939,1716380558.2482548,1716380558.25104,1716380558.2542725,1716380558.254273,1716380558.248271,1716380558.2510066,1716380558.2569594,1716380558.2593179,1716380558.2510076,1716380558.2569602,50,0.41297876834869385,3.5281550884246826,1716380558.2593179,,,,,,,
51,1716380558.2594378,1716380558.2707376,1716380558.2594383,1716380558.262428,1716380558.2659607,1716380558.2659612,1716380558.2594545,1716380558.2623942,1716380558.268365,1716380558.270666,1716380558.2623947,1716380558.2683656,51,0.8000200390815735,6.740395545959473,1716380558.270666,,,,,,,
52,1716380558.270769,1716380558.282292,1716380558.2707694,1716380558.2739727,1716380558.277284,1716380558.2772844,1716380558.2707891,1716380558.2739403,1716380558.279746,1716380558.2822168,1716380558.2739406,1716380558.279747,52,0.26907697319984436,3.6483421325683594,1716380558.282217,,,,,,,
53,1716380558.2823358,1716380558.2936852,1716380558.282336,1716380558.2854629,1716380558.2889419,1716380558.2889423,1716380558.2823532,1716380558.285428,1716380558.2914414,1716380558.2936137,1716380558.2854285,1716380558.2914422,53,0.37441587448120117,6.129217624664307,1716380558.293614,,,,,,,
54,1716380558.2937737,1716380558.3053892,1716380558.2937741,1716380558.297045,1716380558.3007972,1716380558.300798,1716380558.2937794,1716380558.297011,1716380558.3032587,1716380558.3053124,1716380558.2970116,1716380558.3032596,54,0.34667161107063293,3.362635850906372,1716380558.3053129,,,,,,,
55,1716380558.3054419,1716380558.317008,1716380558.305442,1716380558.308707,1716380558.311938,1716380558.3119385,1716380558.3054588,1716380558.308674,1716380558.314636,1716380558.3169358,1716380558.3086746,1716380558.3146367,55,0.7860123515129089,7.867259502410889,1716380558.3169363,,,,,,,
56,1716380558.317039,1716380558.328492,1716380558.3170393,1716380558.3202536,1716380558.3235495,1716380558.32355,1716380558.3170514,1716380558.3202186,1716380558.3261962,1716380558.3284214,1716380558.3202193,1716380558.326197,56,0.27400726079940796,4.076114177703857,1716380558.3284216,,,,,,,
57,1716380558.3285232,1716380558.339941,1716380558.3285236,1716380558.3315873,1716380558.3349245,1716380558.3349252,1716380558.3285363,1716380558.331543,1716380558.3377397,1716380558.33984,1716380558.3315434,1716380558.3377407,57,0.22858236730098724,4.212289333343506,1716380558.3398402,,,,,,,
58,1716380558.3399744,1716380558.351374,1716380558.3399746,1716380558.3431377,1716380558.3464983,1716380558.3464987,1716380558.339988,1716380558.3431048,1716380558.3493214,1716380558.3512979,1716380558.3431053,1716380558.3493223,58,0.2688866853713989,4.6609930992126465,1716380558.351298,,,,,,,
59,1716380558.3514068,1716380558.3628101,1716380558.351407,1716380558.354589,1716380558.3578897,1716380558.3578904,1716380558.3514197,1716380558.3545442,1716380558.3606079,1716380558.362739,1716380558.3545446,1716380558.3606086,59,0.3197498917579651,4.156368732452393,1716380558.3627396,,,,,,,
60,1716380558.3628414,1716380558.3742542,1716380558.3628416,1716380558.366092,1716380558.3695676,1716380558.3695686,1716380558.3628545,1716380558.3660574,1716380558.372179,1716380558.3741772,1716380558.3660583,1716380558.3721797,60,0.268474817276001,4.94748067855835,1716380558.3741775,,,,,,,
61,1716380558.374287,1716380558.3858964,1716380558.3742871,1716380558.377636,1716380558.38093,1716380558.380931,1716380558.3743,1716380558.3776007,1716380558.383664,1716380558.3858194,1716380558.3776014,1716380558.3836646,61,0.14567099511623383,4.511425018310547,1716380558.38582,,,,,,,
62,1716380558.385931,1716380558.3975005,1716380558.3859313,1716380558.389181,1716380558.3924708,1716380558.3924716,1716380558.3859456,1716380558.3891463,1716380558.3952951,1716380558.397426,1716380558.389147,1716380558.395296,62,0.37207698822021484,6.871148109436035,1716380558.3974261,,,,,,,
63,1716380558.3975334,1716380558.4091172,1716380558.3975337,1716380558.4008176,1716380558.4041524,1716380558.404153,1716380558.3975468,1716380558.4007835,1716380558.4068887,1716380558.409044,1716380558.400784,1716380558.4068894,63,0.5588496923446655,3.115095853805542,1716380558.409044,,,,,,,
64,1716380558.4091504,1716380558.4205534,1716380558.4091508,1716380558.4121954,1716380558.4155188,1716380558.4155195,1716380558.40916,1716380558.4121618,1716380558.4181948,1716380558.4204748,1716380558.4121623,1716380558.4181955,64,0.5788866281509399,9.789889335632324,1716380558.4204755,,,,,,,
65,1716380558.4206128,1716380558.432203,1716380558.4206133,1716380558.423934,1716380558.427718,1716380558.4277186,1716380558.4206307,1716380558.4238572,1716380558.4303567,1716380558.4321299,1716380558.4238577,1716380558.4303572,65,0.2550276815891266,5.876121520996094,1716380558.4321299,,,,,,,
66,1716380558.4322345,1716380558.4434054,1716380558.432235,1716380558.4352198,1716380558.438713,1716380558.4387138,1716380558.432246,1716380558.4351842,1716380558.44129,1716380558.4433303,1716380558.435185,1716380558.441291,66,0.20337805151939392,5.013967514038086,1716380558.4433305,,,,,,,
67,1716380558.4434369,1716380558.4550025,1716380558.443437,1716380558.4468112,1716380558.450079,1716380558.4500797,1716380558.4434502,1716380558.4467778,1716380558.452536,1716380558.4549108,1716380558.4467785,1716380558.4525368,67,0.38681313395500183,5.754086017608643,1716380558.454911,,,,,,,
68,1716380558.4550366,1716380558.4665484,1716380558.4550369,1716380558.458366,1716380558.4620628,1716380558.4620636,1716380558.4550452,1716380558.4583178,1716380558.464954,1716380558.4664721,1716380558.4583187,1716380558.4649549,68,0.37640616297721863,3.545708417892456,1716380558.4664724,,,,,,,
69,1716380558.4666026,1716380558.4781175,1716380558.4666033,1716380558.4698486,1716380558.4737077,1716380558.4737086,1716380558.4666212,1716380558.469814,1716380558.4764817,1716380558.478042,1716380558.4698145,1716380558.4764829,69,0.43508729338645935,9.399798393249512,1716380558.4780421,,,,,,,
70,1716380558.478166,1716380558.4897354,1716380558.4781663,1716380558.481429,1716380558.4851222,1716380558.485123,1716380558.4781818,1716380558.4813821,1716380558.4877048,1716380558.489661,1716380558.4813828,1716380558.4877057,70,0.1761515885591507,5.9024858474731445,1716380558.4896612,,,,,,,
71,1716380558.4897685,1716380558.5011952,1716380558.489769,1716380558.4928699,1716380558.4962537,1716380558.4962542,1716380558.4897823,1716380558.4928339,1716380558.4986768,1716380558.5011206,1716380558.4928346,1716380558.4986775,71,0.073189876973629,4.624141693115234,1716380558.5011208,,,,,,,
72,1716380558.5012286,1716380558.5126848,1716380558.501229,1716380558.5044506,1716380558.5077515,1716380558.5077522,1716380558.5012412,1716380558.5044172,1716380558.5103083,1716380558.512611,1716380558.504418,1716380558.5103092,72,0.23480212688446045,7.377869606018066,1716380558.5126112,,,,,,,
73,1716380558.512718,1716380558.5241017,1716380558.5127187,1716380558.5159526,1716380558.519275,1716380558.5192754,1716380558.5127316,1716380558.5158572,1716380558.5221705,1716380558.5240145,1716380558.5158577,1716380558.5221717,73,0.6985194683074951,1.1664459705352783,1716380558.5240152,,,,,,,
74,1716380558.5241456,1716380558.5356622,1716380558.524146,1716380558.5274384,1716380558.5309885,1716380558.5309894,1716380558.5241575,1716380558.5274048,1716380558.5336678,1716380558.535577,1716380558.5274055,1716380558.5336688,74,1.2922800779342651,14.96362590789795,1716380558.5355773,,,,,,,
75,1716380558.535706,1716380558.547397,1716380558.5357063,1716380558.5389724,1716380558.543082,1716380558.5430825,1716380558.5357203,1716380558.5389376,1716380558.545571,1716380558.5473046,1716380558.5389383,1716380558.545572,75,1.6164817810058594,9.319416999816895,1716380558.5473049,,,,,,,
76,1716380558.5474353,1716380558.558855,1716380558.5474358,1716380558.5506372,1716380558.553881,1716380558.5538816,1716380558.5474494,1716380558.5506027,1716380558.5571592,1716380558.558782,1716380558.5506036,1716380558.55716,76,0.06241270527243614,6.987639904022217,1716380558.5587826,,,,,,,
77,1716380558.5589037,1716380558.570327,1716380558.5589044,1716380558.5620933,1716380558.5654948,1716380558.5654953,1716380558.5589163,1716380558.5620587,1716380558.568165,1716380558.5702531,1716380558.5620592,1716380558.5681663,77,0.09213617444038391,4.6197075843811035,1716380558.5702534,,,,,,,
78,1716380558.5703592,1716380558.581895,1716380558.5703597,1716380558.5736127,1716380558.5770822,1716380558.5770829,1716380558.5703723,1716380558.5735772,1716380558.5795243,1716380558.5818222,1716380558.573578,1716380558.5795255,78,0.5179094672203064,9.91330623626709,1716380558.5818224,,,,,,,
79,1716380558.5819263,1716380558.5935469,1716380558.5819266,1716380558.5852208,1716380558.5887318,1716380558.5887325,1716380558.5819473,1716380558.585186,1716380558.5911155,1716380558.5934613,1716380558.5851867,1716380558.5911162,79,0.1382075846195221,6.68787145614624,1716380558.5934618,,,,,,,
80,1716380558.593584,1716380558.6050665,1716380558.5935843,1716380558.5967724,1716380558.600096,1716380558.6000965,1716380558.5935972,1716380558.596738,1716380558.6027775,1716380558.6049922,1716380558.5967386,1716380558.6027784,80,0.03689069300889969,4.546793460845947,1716380558.6049926,,,,,,,
81,1716380558.605156,1716380558.61655,1716380558.6051562,1716380558.608349,1716380558.6117215,1716380558.611722,1716380558.6051638,1716380558.6083157,1716380558.6141677,1716380558.616464,1716380558.6083162,1716380558.6141686,81,0.4499695897102356,9.115950584411621,1716380558.6164644,,,,,,,
82,1716380558.6165836,1716380558.6280441,1716380558.6165838,1716380558.6197705,1716380558.623067,1716380558.6230676,1716380558.6165953,1716380558.6197376,1716380558.6257067,1716380558.6279712,1716380558.619738,1716380558.6257079,82,0.40982770919799805,5.191286087036133,1716380558.6279714,,,,,,,
83,1716380558.6280775,1716380558.6395562,1716380558.6280777,1716380558.6312087,1716380558.6343174,1716380558.6343179,1716380558.628091,1716380558.6311755,1716380558.6370158,1716380558.639477,1716380558.631176,1716380558.6370165,83,0.4229394197463989,5.993057727813721,1716380558.6394773,,,,,,,
84,1716380558.6395876,1716380558.6509852,1716380558.6395879,1716380558.6426995,1716380558.6459467,1716380558.6459472,1716380558.6396003,1716380558.6426644,1716380558.6485524,1716380558.6509118,1716380558.6426651,1716380558.6485531,84,0.10713215172290802,4.630528926849365,1716380558.650912,,,,,,,
85,1716380558.6510184,1716380558.6625152,1716380558.6510189,1716380558.654197,1716380558.657648,1716380558.6576486,1716380558.651032,1716380558.6541452,1716380558.6601875,1716380558.6624413,1716380558.6541457,1716380558.6601882,85,0.5272319912910461,9.952133178710938,1716380558.6624415,,,,,,,
86,1716380558.6625528,1716380558.6741028,1716380558.662553,1716380558.6657972,1716380558.6694894,1716380558.6694899,1716380558.662566,1716380558.6657627,1716380558.6724842,1716380558.6740258,1716380558.6657634,1716380558.6724849,86,0.27613988518714905,6.378264904022217,1716380558.674026,,,,,,,
87,1716380558.6741514,1716380558.6857562,1716380558.6741517,1716380558.677454,1716380558.6810544,1716380558.6810553,1716380558.674169,1716380558.6774213,1716380558.683465,1716380558.6856818,1716380558.6774218,1716380558.6834657,87,0.12020033597946167,5.052854061126709,1716380558.685682,,,,,,,
88,1716380558.685809,1716380558.6973171,1716380558.6858091,1716380558.6891134,1716380558.6927993,1716380558.6927998,1716380558.6858253,1716380558.6890664,1716380558.6954138,1716380558.697241,1716380558.6890671,1716380558.6954148,88,0.2808486521244049,7.582847595214844,1716380558.6972413,,,,,,,
89,1716380558.6973507,1716380558.7087991,1716380558.697351,1716380558.7005394,1716380558.703786,1716380558.7037866,1716380558.6973643,1716380558.7005053,1716380558.7065115,1716380558.7087276,1716380558.7005062,1716380558.7065125,89,0.26338130235671997,4.453853607177734,1716380558.7087278,,,,,,,
90,1716380558.7088313,1716380558.7201679,1716380558.7088315,1716380558.711859,1716380558.7152655,1716380558.7152662,1716380558.708844,1716380558.7118237,1716380558.7179737,1716380558.7200963,1716380558.7118244,1716380558.7179744,90,1.1284234523773193,15.724283218383789,1716380558.7200968,,,,,,,
91,1716380558.720201,1716380558.731654,1716380558.7202013,1716380558.7234094,1716380558.726772,1716380558.7267728,1716380558.7202146,1716380558.7233744,1716380558.7294054,1716380558.731568,1716380558.723375,1716380558.729406,91,0.9173797369003296,10.626470565795898,1716380558.7315683,,,,,,,
92,1716380558.731685,1716380558.7432168,1716380558.7316852,1716380558.7349114,1716380558.7382321,1716380558.7382329,1716380558.7316976,1716380558.7348707,1716380558.740878,1716380558.743143,1716380558.7348714,1716380558.740879,92,0.3534766435623169,6.101579189300537,1716380558.7431433,,,,,,,
93,1716380558.7432475,1716380558.754708,1716380558.743248,1716380558.7463953,1716380558.7496312,1716380558.7496316,1716380558.743261,1716380558.7463627,1716380558.7522538,1716380558.7546358,1716380558.7463632,1716380558.7522545,93,0.43128055334091187,7.2476725578308105,1716380558.7546358,,,,,,,
94,1716380558.7547393,1716380558.7661111,1716380558.7547395,1716380558.7577684,1716380558.7609878,1716380558.7609882,1716380558.7547522,1716380558.7577357,1716380558.7633383,1716380558.7660255,1716380558.7577362,1716380558.7633393,94,0.07184606790542603,4.469674110412598,1716380558.7660258,,,,,,,
95,1716380558.7661421,1716380558.777326,1716380558.7661424,1716380558.769128,1716380558.7723205,1716380558.772321,1716380558.766155,1716380558.7690942,1716380558.7748065,1716380558.777254,1716380558.769095,1716380558.7748072,95,0.4659789204597473,9.001420974731445,1716380558.7772543,,,,,,,
