epoch,start.epoch,end.epoch,start.calc_gradients,end.calc_gradients,start.recv_data,end.recv_data,start.send,end.send,start.swap_recv_instruction,end.swap_recv_instruction,start.load_state_dict,end.load_state_dict,start.swap_recv,end.swap_recv,start.swap_send,end.swap_send,swap_with,mean_d_loss,size.model,size.sent,size.recv
0,1716378951.1943007,1716378953.1197898,1716378951.7610774,1716378953.0681725,1716378951.2000432,1716378951.7610724,1716378953.0681732,1716378953.119788,,,,,,,,,,1.4595060348510742,2.5332183837890625,0.1171875,0.234375
1,1716378953.1200376,1716378957.791542,1716378957.7496753,1716378957.7830799,1716378953.1250317,1716378957.7496698,1716378957.7830808,1716378957.791541,,,,,,,,,,0.9393476247787476,2.5332183837890625,0.1171875,0.234375
2,1716378957.7916992,1716378958.0630102,1716378958.0227487,1716378958.0526688,1716378957.7946954,1716378958.0227418,1716378958.05267,1716378958.063009,,,,,,,,,,1.106972575187683,2.5332183837890625,0.1171875,0.234375
3,1716378958.063214,1716378958.2216406,1716378958.180469,1716378958.2129729,1716378958.067007,1716378958.1804595,1716378958.2129736,1716378958.2216396,,,,,,,,,,1.2109568119049072,2.5332183837890625,0.1171875,0.234375
4,1716378958.2218199,1716378958.3671758,1716378958.3251104,1716378958.3560894,1716378958.2259405,1716378958.3251028,1716378958.35609,1716378958.367175,,,,,,,,,,1.0950894355773926,2.5332183837890625,0.1171875,0.234375
5,1716378958.3674252,1716378958.51983,1716378958.4719987,1716378958.5057209,1716378958.3708928,1716378958.4719892,1716378958.5057216,1716378958.5198283,,,,,,,,,,1.0817879438400269,2.5332183837890625,0.1171875,0.234375
6,1716378958.520167,1716378958.6644726,1716378958.6161582,1716378958.6505609,1716378958.5242097,1716378958.6161497,1716378958.6505613,1716378958.6644719,,,,,,,,,,1.2143332958221436,2.5332183837890625,0.1171875,0.234375
7,1716378958.6649752,1716378958.7882664,1716378958.755871,1716378958.779059,1716378958.676316,1716378958.7558644,1716378958.7790596,1716378958.7882655,,,,,,,,,,0.9117200374603271,2.5332183837890625,0.1171875,0.234375
8,1716378958.7884705,1716378958.9225316,1716378958.881863,1716378958.917036,1716378958.793139,1716378958.8818562,1716378958.9170372,1716378958.922531,,,,,,,,,,0.5655062198638916,2.5332183837890625,0.1171875,0.234375
9,1716378958.92275,1716378959.049162,1716378959.015938,1716378959.042347,1716378958.937597,1716378959.0159323,1716378959.0423477,1716378959.049161,,,,,,,,,,1.2378360033035278,2.5332183837890625,0.1171875,0.234375
10,1716378959.0493808,1716378959.1825395,1716378959.147942,1716378959.1793182,1716378959.0553272,1716378959.1479352,1716378959.1793187,1716378959.1825385,,,,,,,,,,0.9733724594116211,2.5332183837890625,0.1171875,0.234375
11,1716378959.1827402,1716378959.3098168,1716378959.269706,1716378959.2982316,1716378959.1861627,1716378959.2696972,1716378959.2982323,1716378959.309816,,,,,,,,,,0.6605322360992432,2.5332183837890625,0.1171875,0.234375
12,1716378959.3100612,1716378959.428255,1716378959.397013,1716378959.417512,1716378959.3131824,1716378959.3970041,1716378959.4175124,1716378959.4282537,,,,,,,,,,1.2450307607650757,2.5332183837890625,0.1171875,0.234375
13,1716378959.4284627,1716378959.5602589,1716378959.520907,1716378959.5477035,1716378959.4324174,1716378959.5208974,1716378959.5477042,1716378959.560257,,,,,,,,,,0.7775105834007263,2.5332183837890625,0.1171875,0.234375
14,1716378959.5604873,1716378959.6921647,1716378959.6547356,1716378959.679823,1716378959.5654798,1716378959.6547291,1716378959.6798234,1716378959.6921635,,,,,,,,,,0.6775211095809937,2.5332183837890625,0.1171875,0.234375
15,1716378959.6925054,1716378959.814419,1716378959.7808225,1716378959.804606,1716378959.6976109,1716378959.7808142,1716378959.8046064,1716378959.814418,,,,,,,,,,0.5547001957893372,2.5332183837890625,0.1171875,0.234375
16,1716378959.8145976,1716378959.9364808,1716378959.9095354,1716378959.930409,1716378959.8180163,1716378959.9095244,1716378959.9304094,1716378959.93648,,,,,,,,,,0.7266377210617065,2.5332183837890625,0.1171875,0.234375
17,1716378959.9366255,1716378960.0631282,1716378960.0242417,1716378960.0572195,1716378959.9415524,1716378960.0242324,1716378960.0572207,1716378960.063127,,,,,,,,,,0.741669237613678,2.5332183837890625,0.1171875,0.234375
18,1716378960.0633364,1716378960.1920738,1716378960.1555088,1716378960.188261,1716378960.067865,1716378960.1555023,1716378960.188262,1716378960.1920724,,,,,,,,,,0.596767783164978,2.5332183837890625,0.1171875,0.234375
19,1716378960.1922717,1716378960.3094344,1716378960.2779675,1716378960.2995815,1716378960.1954331,1716378960.2779558,1716378960.2995822,1716378960.3094335,,,,,,,,,,0.4678311049938202,2.5332183837890625,0.1171875,0.234375
20,1716378960.3098052,1716378960.4477286,1716378960.4135897,1716378960.4372594,1716378960.314756,1716378960.413581,1716378960.4372604,1716378960.4477277,,,,,,,,,,0.3347918689250946,2.5332183837890625,0.1171875,0.234375
21,1716378960.4480772,1716378960.5652907,1716378960.5499244,1716378960.561509,1716378960.4539728,1716378960.5499187,1716378960.5615094,1716378960.5652897,,,,,,,,,,0.3776252567768097,2.5332183837890625,0.1171875,0.234375
22,1716378960.565472,1716378960.6950865,1716378960.6616285,1716378960.6827302,1716378960.5704458,1716378960.6616225,1716378960.6827312,1716378960.6950855,,,,,,,,,,0.6232170462608337,2.5332183837890625,0.1171875,0.234375
23,1716378960.6953144,1716378960.8302615,1716378960.804284,1716378960.824534,1716378960.7002807,1716378960.804276,1716378960.824535,1716378960.8302605,,,,,,,,,,0.3946772813796997,2.5332183837890625,0.1171875,0.234375
24,1716378960.8304527,1716378960.9490345,1716378960.9195595,1716378960.9429636,1716378960.8333728,1716378960.9195504,1716378960.9429646,1716378960.949033,,,,,,,,,,0.36343222856521606,2.5332183837890625,0.1171875,0.234375
25,1716378960.951034,1716378961.0736792,1716378961.0412345,1716378961.0635738,1716378960.9543018,1716378961.0412288,1716378961.0635743,1716378961.073678,,,,,,,,,,0.4070568084716797,2.5332183837890625,0.1171875,0.234375
