epoch,start.epoch,end.epoch,start.calc_gradients,end.calc_gradients,start.recv_data,end.recv_data,start.send,end.send,start.swap_recv_instruction,end.swap_recv_instruction,start.load_state_dict,end.load_state_dict,start.swap_recv,end.swap_recv,start.swap_send,end.swap_send,swap_with,mean_d_loss,size.model,size.sent,size.recv
0,1716398400.506114,1716398401.1707385,1716398400.7549002,1716398401.1659079,1716398400.513556,1716398400.7548912,1716398401.1659086,1716398401.1707373,,,,,,,,,,1.8214364051818848,2.5332183837890625,0.1171875,0.234375
1,1716398401.1709356,1716398405.2595062,1716398405.23575,1716398405.251514,1716398401.1749744,1716398405.2357435,1716398405.251515,1716398405.2595048,,,,,,,,,,1.0412352085113525,2.5332183837890625,0.1171875,0.234375
2,1716398405.2597752,1716398405.4581532,1716398405.4347477,1716398405.4507265,1716398405.264745,1716398405.43474,1716398405.450727,1716398405.4581523,,,,,,,,,,1.2606432437896729,2.5332183837890625,0.1171875,0.234375
3,1716398405.4583545,1716398405.5427341,1716398405.520322,1716398405.5363505,1716398405.462792,1716398405.5203154,1716398405.536351,1716398405.542733,,,,,,,,,,1.237084984779358,2.5332183837890625,0.1171875,0.234375
4,1716398405.5428793,1716398405.6242843,1716398405.602216,1716398405.6179671,1716398405.5457444,1716398405.6022089,1716398405.6179676,1716398405.6242833,,,,,,,,,,1.0328460931777954,2.5332183837890625,0.1171875,0.234375
5,1716398405.6244154,1716398405.683931,1716398405.6705146,1716398405.6806633,1716398405.6276588,1716398405.6705086,1716398405.6806638,1716398405.68393,,,,,,,,,,1.0955716371536255,2.5332183837890625,0.1171875,0.234375
6,1716398405.6840866,1716398405.7535436,1716398405.7397835,1716398405.7501013,1716398405.6870005,1716398405.7397757,1716398405.750102,1716398405.7535427,,,,,,,,,,1.0573797225952148,2.5332183837890625,0.1171875,0.234375
7,1716398405.7537627,1716398405.8228655,1716398405.8087184,1716398405.8188775,1716398405.7583714,1716398405.8087091,1716398405.8188787,1716398405.8228638,,,,,,,,,,1.279945731163025,2.5332183837890625,0.1171875,0.234375
8,1716398405.8230782,1716398405.886117,1716398405.8738637,1716398405.8822913,1716398405.8280275,1716398405.8738575,1716398405.8822918,1716398405.8861156,,,,,,,,,,0.9383189678192139,2.5332183837890625,0.1171875,0.234375
9,1716398405.886258,1716398405.949935,1716398405.938929,1716398405.9473066,1716398405.8894649,1716398405.9389167,1716398405.9473073,1716398405.9499335,,,,,,,,,,1.219712257385254,2.5332183837890625,0.1171875,0.234375
