epoch,start.epoch,end.epoch,start.calc_gradients,end.calc_gradients,start.recv_data,end.recv_data,start.send,end.send,start.swap_recv_instruction,end.swap_recv_instruction,start.load_state_dict,end.load_state_dict,start.swap_recv,end.swap_recv,start.swap_send,end.swap_send,swap_with,mean_d_loss,size.model,size.sent,size.recv
0,1716392010.4343803,1716392012.9388988,1716392011.2180128,1716392012.934609,1716392010.440929,1716392011.2180064,1716392012.93461,1716392012.9388976,,,,,,,,,,1.6458580493927002,2.5332183837890625,0.1171875,0.234375
1,1716392012.9391599,1716392018.0604126,1716392017.9473083,1716392018.0546799,1716392012.9668844,1716392017.9473023,1716392018.0546806,1716392018.0604112,,,,,,,,,,1.092256784439087,2.5332183837890625,0.1171875,0.234375
2,1716392018.0606003,1716392018.8262103,1716392018.8178217,1716392018.8233979,1716392018.0655627,1716392018.817815,1716392018.8233984,1716392018.8262095,,,,,,,,,,1.0241261720657349,2.5332183837890625,0.1171875,0.234375
3,1716392018.8263996,1716392019.6339898,1716392019.5322495,1716392019.5480642,1716392018.831359,1716392019.5322382,1716392019.5480652,1716392019.6339884,,,,,,,,,,1.1286938190460205,2.5332183837890625,0.1171875,0.234375
4,1716392019.6343899,1716392020.2085166,1716392020.1943748,1716392020.205122,1716392019.6376977,1716392020.1943662,1716392020.2051225,1716392020.2085152,,,,,,,,,,1.0703768730163574,2.5332183837890625,0.1171875,0.234375
5,1716392020.2087772,1716392020.934507,1716392020.8946183,1716392020.9199202,1716392020.2319505,1716392020.8946056,1716392020.9199212,1716392020.934506,,,,,,,,,,1.5280414819717407,2.5332183837890625,0.1171875,0.234375
6,1716392020.9362998,1716392021.639144,1716392021.6155639,1716392021.6328979,1716392020.9742742,1716392021.6155546,1716392021.6328983,1716392021.6391432,,,,,,,,,,0.7116199731826782,2.5332183837890625,0.1171875,0.234375
7,1716392021.639319,1716392022.337566,1716392022.3127372,1716392022.3272545,1716392021.656969,1716392022.3127294,1716392022.3272552,1716392022.3375647,,,,,,,,,,0.9925317764282227,2.5332183837890625,0.1171875,0.234375
8,1716392022.3383038,1716392022.9700515,1716392022.962744,1716392022.967627,1716392022.3415813,1716392022.9627385,1716392022.9676275,1716392022.9700508,,,,,,,,,,1.1096850633621216,2.5332183837890625,0.1171875,0.234375
9,1716392022.9702132,1716392023.6743875,1716392023.6608765,1716392023.6670623,1716392022.974172,1716392023.6608677,1716392023.6670625,1716392023.6743865,,,,,,,,,,1.0790674686431885,2.5332183837890625,0.1171875,0.234375
10,1716392023.6746063,1716392024.3177533,1716392024.2951775,1716392024.311067,1716392023.6853654,1716392024.295171,1716392024.3110678,1716392024.3177524,,,,,,,,,,0.8612074255943298,2.5332183837890625,0.1171875,0.234375
11,1716392024.3180773,1716392024.9892213,1716392024.8774927,1716392024.933691,1716392024.3283272,1716392024.877485,1716392024.9336922,1716392024.9892192,,,,,,,,,,1.0165491104125977,2.5332183837890625,0.1171875,0.234375
12,1716392024.9896271,1716392025.6553814,1716392025.496698,1716392025.6491985,1716392025.0576644,1716392025.4966922,1716392025.6491992,1716392025.6553802,,,,,,,,,,0.6021175384521484,2.5332183837890625,0.1171875,0.234375
13,1716392025.656103,1716392026.229583,1716392026.1700842,1716392026.1891067,1716392025.6788661,1716392026.1700788,1716392026.1891081,1716392026.2295818,,,,,,,,,,0.8209414482116699,2.5332183837890625,0.1171875,0.234375
14,1716392026.2298295,1716392026.918174,1716392026.8753524,1716392026.8972018,1716392026.2331715,1716392026.8753464,1716392026.8972025,1716392026.9181726,,,,,,,,,,1.0368331670761108,2.5332183837890625,0.1171875,0.234375
15,1716392026.9183567,1716392027.5317433,1716392027.524414,1716392027.5292106,1716392026.9215777,1716392027.5244048,1716392027.5292108,1716392027.531742,,,,,,,,,,0.7531099915504456,2.5332183837890625,0.1171875,0.234375
16,1716392027.5318909,1716392028.254598,1716392028.1477532,1716392028.1709886,1716392027.5350046,1716392028.1477456,1716392028.1709893,1716392028.254596,,,,,,,,,,0.6783561706542969,2.5332183837890625,0.1171875,0.234375
17,1716392028.2548892,1716392028.855848,1716392028.845773,1716392028.852535,1716392028.2597885,1716392028.8457556,1716392028.8525357,1716392028.855847,,,,,,,,,,0.5147222280502319,2.5332183837890625,0.1171875,0.234375
18,1716392028.8560555,1716392029.610108,1716392029.5295727,1716392029.5857196,1716392028.8981974,1716392029.5295672,1716392029.5857205,1716392029.6101048,,,,,,,,,,0.4633806347846985,2.5332183837890625,0.1171875,0.234375
19,1716392029.6104062,1716392030.1113799,1716392030.1009657,1716392030.1087852,1716392029.6843972,1716392030.1009595,1716392030.1087856,1716392030.111379,,,,,,,,,,0.6087992191314697,2.5332183837890625,0.1171875,0.234375
20,1716392030.1116343,1716392030.8953996,1716392030.80932,1716392030.886154,1716392030.1310418,1716392030.809314,1716392030.8861554,1716392030.895397,,,,,,,,,,0.561270534992218,2.5332183837890625,0.1171875,0.234375
21,1716392030.8957055,1716392031.4876735,1716392031.4386742,1716392031.4801154,1716392030.902779,1716392031.438668,1716392031.4801161,1716392031.4876723,,,,,,,,,,0.4566113352775574,2.5332183837890625,0.1171875,0.234375
22,1716392031.4878585,1716392032.0716643,1716392032.0412393,1716392032.0648305,1716392031.5039294,1716392032.0412242,1716392032.064831,1716392032.0716631,,,,,,,,,,0.7489045858383179,2.5332183837890625,0.1171875,0.234375
23,1716392032.071845,1716392032.913969,1716392032.8000667,1716392032.873739,1716392032.0831196,1716392032.8000612,1716392032.87374,1716392032.9139674,,,,,,,,,,0.3732448220252991,2.5332183837890625,0.1171875,0.234375
24,1716392032.9142106,1716392033.4597397,1716392033.438065,1716392033.455959,1716392032.9175253,1716392033.4380598,1716392033.4559596,1716392033.459738,,,,,,,,,,0.32150986790657043,2.5332183837890625,0.1171875,0.234375
25,1716392033.459902,1716392034.1693718,1716392034.1154804,1716392034.1656923,1716392033.4684336,1716392034.115475,1716392034.1656935,1716392034.1693707,,,,,,,,,,0.263560950756073,2.5332183837890625,0.1171875,0.234375
26,1716392034.1695588,1716392034.7875326,1716392034.7514315,1716392034.7788289,1716392034.172877,1716392034.7514248,1716392034.7788293,1716392034.7875314,,,,,,,,,,0.4267752468585968,2.5332183837890625,0.1171875,0.234375
27,1716392034.78773,1716392035.593701,1716392035.5151317,1716392035.5659428,1716392034.7916539,1716392035.5151217,1716392035.5659435,1716392035.5936997,,,,,,,,,,0.2750394940376282,2.5332183837890625,0.1171875,0.234375
28,1716392035.594011,1716392036.29859,1716392036.2747126,1716392036.2904458,1716392035.5997934,1716392036.2747028,1716392036.2904465,1716392036.298589,,,,,,,,,,0.3859328329563141,2.5332183837890625,0.1171875,0.234375
29,1716392036.2987854,1716392036.9877112,1716392036.974126,1716392036.9843354,1716392036.3153205,1716392036.9741166,1716392036.984337,1716392036.98771,,,,,,,,,,0.4719865322113037,2.5332183837890625,0.1171875,0.234375
30,1716392036.9980452,1716392037.675304,1716392037.6579437,1716392037.6708593,1716392037.009423,1716392037.657938,1716392037.6708603,1716392037.6753027,,,,,,,,,,0.35583025217056274,2.5332183837890625,0.1171875,0.234375
31,1716392037.6755261,1716392038.340654,1716392038.2951083,1716392038.315483,1716392037.680448,1716392038.2950985,1716392038.3154838,1716392038.3406522,,,,,,,,,,0.4001123309135437,2.5332183837890625,0.1171875,0.234375
32,1716392038.349819,1716392039.0461543,1716392038.9756393,1716392038.9965274,1716392038.3838665,1716392038.975615,1716392038.9965281,1716392039.0461526,,,,,,,,,,0.22892612218856812,2.5332183837890625,0.1171875,0.234375
33,1716392039.04653,1716392039.755693,1716392039.7393293,1716392039.7532408,1716392039.051359,1716392039.7393188,1716392039.7532413,1716392039.7556922,,,,,,,,,,0.5255976915359497,2.5332183837890625,0.1171875,0.234375
34,1716392039.7558382,1716392040.4872642,1716392040.4780293,1716392040.4844828,1716392039.7590196,1716392040.4780178,1716392040.4844832,1716392040.4872632,,,,,,,,,,0.5326378345489502,2.5332183837890625,0.1171875,0.234375
35,1716392040.4874182,1716392041.3526351,1716392041.2501082,1716392041.2860007,1716392040.492412,1716392041.2501025,1716392041.2860012,1716392041.3526337,,,,,,,,,,0.23427654802799225,2.5332183837890625,0.1171875,0.234375
36,1716392041.3580031,1716392042.0544276,1716392041.987838,1716392042.0178993,1716392041.3613482,1716392041.9878242,1716392042.0179,1716392042.0544267,,,,,,,,,,0.11119834333658218,2.5332183837890625,0.1171875,0.234375
37,1716392042.0547853,1716392042.7259007,1716392042.7026217,1716392042.7227044,1716392042.058173,1716392042.7026157,1716392042.7227051,1716392042.7258995,,,,,,,,,,0.1914745420217514,2.5332183837890625,0.1171875,0.234375
